gene,probe,n,rho_meth_vs_expr,p_meth_vs_expr,rho_meth_vs_ARGscore,p_meth_vs_ARGscore,p_meth_vs_expr_fdr
MEIS2,cg25221496,370,0.0736798539033389,0.15724805623038904,-0.07918826209355889,0.12839763172297525,0.2162160773167849
MEIS2,cg21177426,370,0.25670259201855494,5.58089200400861e-07,0.07888846561332381,0.12985425770306488,1.6250244364613306e-06
MEIS2,cg03396151,370,0.24104286211456877,2.7294051520523332e-06,0.10074861099455781,0.05282972008933262,7.303002974410296e-06
MEIS2,cg15902390,370,-0.13186744847929355,0.01111586407510898,-0.03475806400506781,0.5050763016986228,0.018341175723929817
MEIS2,cg06933370,370,-0.21664341610234297,2.6323670094574225e-05,-0.04180987507074562,0.42263483511098776,6.51510834840712e-05
MEIS2,cg23677243,370,-0.15314439982147027,0.003144333098834709,-0.04079923047544512,0.4339447129800462,0.005558731728297075
MEIS2,cg26708220,370,-0.18871156647478926,0.00026172095360429634,-0.07911491216641796,0.12875284406459747,0.0005632690088440291
MEIS2,cg19010490,370,-0.19980068905962156,0.00010913783390759351,-0.2008979289853492,9.982576847866144e-05,0.00025725346563932754
MEIS2,cg02377544,370,-0.36497360987308847,4.223564465208711e-13,-0.37374866517084987,1.037251299247612e-13,2.7875525470377495e-12
MEIS2,cg00691830,370,0.05392787166118006,0.30087145880409344,0.0017379565045354955,0.9734216617326866,0.38685751116012224
MEIS2,cg13181164,370,0.2903850727994991,1.2716286910300761e-08,0.09125466952861234,0.07959539073627049,5.035649616479101e-08
MEIS2,cg24357619,370,0.27291711679191777,9.634384705797139e-08,0.023945098517212347,0.6461619849286664,3.1793469529130556e-07
MEIS2,cg13181974,369,0.26427556574339495,2.588098948715627e-07,0.04333796880402643,0.40650444504496275,8.006931122588971e-07
MEIS2,cg11362604,370,-0.0017989018128797014,0.9724899948899302,-0.05422464368325545,0.29821535679019445,0.9724899948899302
MEIS2,cg01958086,370,-0.10416996733926316,0.045239563989189026,-0.07921370275169891,0.1282746073700788,0.06890333592199559
MEIS2,cg03951374,370,-0.2943777512059317,7.84777519408785e-09,-0.11931591436777561,0.0217029024134607,3.237207267561238e-08
MEIS2,cg13800209,370,-0.3261999732412841,1.2754090939489363e-10,-0.1799420333940642,0.0005052209276862612,6.012642871473556e-10
MEIS2,cg07433663,370,-0.3247791259113716,1.5492759897977313e-10,-0.17199755368687647,0.0008936363559723956,6.869768205597682e-10
MEIS2,cg21643314,370,0.12721760948657956,0.014335018864686704,-0.01887920336349602,0.7173877324638023,0.022889788187161027
MEIS2,cg20891097,370,0.01820878985021302,0.7270165783271043,-0.013956750910632715,0.7890317783101202,0.7576278026777192
MEIS2,cg10328877,370,0.07559399675040483,0.14671397012717807,-0.044052507029991625,0.39816112277709503,0.20457300059986802
MEIS2,cg18570646,370,-0.16616162552604505,0.0013380339090885381,-0.014731121874633447,0.7776250632994234,0.002547410711533947
MEIS2,cg00797346,370,0.0332114462904092,0.5242231775612275,-0.04139220241142355,0.4272879173819458,0.6178344592685895
MEIS2,cg24504442,370,0.12901301494736184,0.01300598126707227,-0.09452538924031297,0.06934762542931583,0.021108067958035326
MEIS2,cg11686722,370,-0.04604040854335487,0.3771948137455523,-0.0851083841051888,0.10214971992268913,0.4726871716558187
MEIS2,cg17850518,365,-0.04572799923442381,0.3837042835124098,-0.11039102376160925,0.035011034387729914,0.4748340508466072
MEIS2,cg12015310,370,-0.1574909059042967,0.0023805198074760272,-0.00995654119911277,0.848623842630261,0.004284935653456849
MEIS2,cg27129731,370,-0.08351648482193902,0.10874955091078069,-0.02608831360653185,0.6169301027059626,0.15603196435025055
MEIS2,cg02917381,370,0.04852909516078308,0.3519229873787406,-0.011287602886599258,0.8286809468622736,0.44667148398070927
MEIS2,cg23168264,370,0.010501528724274142,0.8404460262524677,-0.04731594637631295,0.36410586055893435,0.8577748102989103
MEIS2,cg07054040,370,-0.021546366037812712,0.6795346474968695,-0.021303393305169154,0.6829515793172019,0.7312383706759792
MEIS2,cg07062711,370,-0.02198281882404559,0.673413276363277,-0.02555509154141275,0.624148928734849,0.7312383706759792
MEIS2,cg23690033,370,0.09338370723169138,0.0727946844364203,0.06217060755860875,0.23287585990162796,0.10756229491351656
MEIS2,cg00366722,370,0.19586569182007327,0.00014968460763054207,0.02910699915774605,0.5767705529632945,0.0003293061367871926
MEIS2,cg23137807,370,0.2577372080312354,5.006481981486131e-07,0.047996819726961834,0.35723629430302983,1.5019445944458396e-06
MEIS2,cg10652646,370,0.18130778564431532,0.00045692452804549475,0.007500650918733822,0.8856649263260571,0.0009424068390938328
MEIS2,cg22112443,370,0.020285501838598473,0.697335957651122,0.03255116651929217,0.5325087195325937,0.742325374273775
MEIS2,cg08688512,370,-0.02832608945955104,0.5870412730509016,-0.14234234949274038,0.006093181950795984,0.6757800701399913
MEIS2,cg25381383,369,-0.19850825647131085,0.00012376340366986656,-0.15081755272650427,0.003685353792379483,0.00028494365030969277
MEIS2,cg16409367,370,-0.08958491975417715,0.08528146665771719,-0.12368074855330499,0.017305963605750107,0.12415978233991179
MEIS2,cg09840968,370,0.08037855554726377,0.12273884457350787,-0.0003497945860020173,0.9946496920937976,0.17358779446824685
ZNF532,cg24049621,370,0.02851243323401338,0.5845827817785685,-0.03452419513478043,0.5079478239497746,0.6757800701399913
ZNF532,cg26172016,370,-0.09461819976720638,0.0690733732382263,0.04745975808506937,0.3626480847839809,0.10361005985733944
ZNF532,cg17675150,370,-0.2700767715755034,1.321697844240086e-07,-0.19161615078990246,0.00020910683529431042,4.22090601870221e-07
ZNF532,cg21867891,370,-0.27507841994592397,7.555880551436707e-08,-0.19043510367508615,0.00022917848133882705,2.6715434806865504e-07
ZNF532,cg05800761,370,-0.21980709332783765,1.98960899745085e-05,-0.1521417230705523,0.0033494906021202635,5.050545916606004e-05
ZNF532,cg23309969,370,-0.3567270612117289,1.520636731001801e-12,-0.23561555368263867,4.616938886835829e-06,8.363502020509906e-12
ZNF532,cg25401010,370,-0.21597312169821303,2.7917566966856507e-05,-0.21944517442376205,2.0547843489879416e-05,6.74107104809462e-05
ZNF532,cg06487082,370,-0.32456141026274965,1.596006754835825e-10,-0.19218180985788,0.00020008726275331238,6.869768205597682e-10
ZNF532,cg12406559,370,-0.27781078700477413,5.540470705925893e-08,-0.20904155036477837,5.0728283110322e-05,2.031505925506161e-07
ZNF532,cg12737497,370,-0.22187789546620987,1.652810056159378e-05,-0.15656426622559252,0.0025275046696373034,4.306005146309959e-05
ZNF532,cg17289202,370,0.02272554973115389,0.6630458095805983,0.07739418643897396,0.13730580261936554,0.7293503905386582
ZNF532,cg04212150,370,-0.49832049923173843,1.2806987522877332e-24,-0.2430353821916774,2.2433403545927073e-06,2.1131529412747597e-23
ZNF532,cg03096126,370,-0.4483829363622475,1.0626904950625977e-19,-0.21026592909350889,4.5713997792845046e-05,1.3150794876399646e-18
ZNF532,cg14269096,370,-0.27401687698288485,8.51600432050052e-08,-0.17888137397140888,0.0005459531341389566,2.90718768182604e-07
ZNF532,cg24243629,370,-0.024699915962791644,0.6358015665166609,-0.0650904280172475,0.2116182861846085,0.7072399447769598
ZNF532,cg21710408,370,-0.357740965917688,1.301624409958997e-12,-0.28725704783695355,1.8463989299564328e-08,7.5800480344671e-12
ZNF532,cg05603258,370,-0.15914010133488765,0.002138060146235267,-0.02437801854953568,0.6402113188173657,0.003919776934764657
ZNF532,ch.18.1114073F,370,0.012330516769320336,0.8131310845202104,0.10511333737002652,0.04331550523374378,0.8385414309114669
ZNF532,cg14517073,370,0.03476841735255894,0.5049493769276117,0.04574026509242907,0.3803162256251188,0.6022890158534163
