,cg25799590,cg01654824,cg14622819,cg23884076,cg14855841,cohort,CXCL10,ARGscore
TCGA-QL-A97D-01,0.8804,0.8668,0.527,0.6572,0.7751,COAD,8.638,1.39513995
TCGA-A6-A56B-01,0.9271,0.9422,0.726,0.8063,0.8847,COAD,4.825,3.615672299999999
TCGA-G4-6307-01,0.8959,0.9598,0.8407,0.8035,0.8718,COAD,5.126,1.5227502899999998
TCGA-AZ-6600-01,0.9228,0.943,0.4511,0.642,0.7614,COAD,6.974,3.08437363
TCGA-F4-6808-01,0.4762,0.9386,0.5566,0.7125,0.8011,COAD,5.648,2.3689558899999996
TCGA-G4-6309-01,0.9356,0.9502,0.337,0.754,0.8357,COAD,7.223,1.80543712
TCGA-AA-3662-01,0.9181,0.937,0.6759,0.6767,0.7167,COAD,8.257,2.519271379999999
TCGA-AY-A71X-01,0.9235,0.9425,0.4816,0.8557,0.8373,COAD,5.966,2.3520838299999993
TCGA-CM-6169-01,0.9032,0.9315,0.617,0.6525,0.7562,COAD,10.24,2.7154476199999995
TCGA-DM-A28K-01,0.9251,0.91,0.3426,0.7419,0.7548,COAD,6.885,2.540932709999999
TCGA-D5-6540-01,0.9397,0.9361,0.2237,0.6536,0.7048,COAD,8.942,2.67676672
TCGA-CA-5254-01,0.9421,0.9328,0.3798,0.5127,0.6741,COAD,6.86,3.6725914399999993
TCGA-AY-6386-01,0.922,0.9385,0.4527,0.5462,0.6445,COAD,7.129,1.85058495
TCGA-AA-3655-01,0.9344,0.9488,0.5767,0.7943,0.8433,COAD,8.588,2.52602704
TCGA-D5-6926-01,0.9167,0.93,0.7604,0.6801,0.8321,COAD,9.992,3.0870406299999997
TCGA-AD-5900-01,0.7461,0.876,0.4332,0.6141,0.7612,COAD,9.511,2.7567582899999987
TCGA-A6-A5ZU-01,0.722,0.9343,0.818,0.7928,0.8555,COAD,7.98,2.85304935
TCGA-DM-A28C-01,0.9415,0.9581,0.8281,0.891,0.8876,COAD,4.195,2.78744536
TCGA-G4-6302-01,0.8558,0.9551,0.3838,0.5239,0.6473,COAD,8.11,4.059412050000001
TCGA-AZ-5403-01,0.9126,0.9188,0.5266,0.7442,0.6441,COAD,7.799,2.7857657300000005
TCGA-D5-6923-01,0.9253,0.9515,0.6729,0.7756,0.8464,COAD,8.094,3.2098935999999996
TCGA-AA-3712-01,0.7525,0.9546,0.4753,0.7632,0.7743,COAD,7.986,2.8699300699999997
TCGA-AU-3779-01,0.9221,0.9414,0.5626,0.1684,0.7182,COAD,7.976,2.62165028
TCGA-CM-6172-01,0.9204,0.942,0.717,0.764,0.8022,COAD,5.264,3.61196783
TCGA-AZ-4614-01,0.8904,0.9261,0.4192,0.5368,0.5417,COAD,8.371,2.53307911
TCGA-5M-AATE-01,0.8882,0.8955,0.632,0.8442,0.8165,COAD,4.76,2.83012404
TCGA-A6-5664-01,0.9133,0.9356,0.3937,0.5449,0.5134,COAD,6.61,3.42965034
TCGA-CM-4744-01,0.7262,0.9244,0.4322,0.6304,0.7105,COAD,10.34,1.4380128299999997
TCGA-CM-6166-01,0.9338,0.9467,0.6739,0.7707,0.7797,COAD,6.781,2.7181881499999996
TCGA-DM-A280-01,0.9062,0.9593,0.5347,0.484,0.6158,COAD,4.634,2.96143059
TCGA-AZ-6607-01,0.9423,0.948,0.1407,0.7935,0.8271,COAD,8.981,3.659378489999998
TCGA-CM-5862-01,0.8717,0.9344,0.6216,0.7971,0.7849,COAD,6.562,2.8228412799999996
TCGA-NH-A5IV-01,0.6336,0.8546,0.7453,0.7974,0.7866,COAD,8.178,2.5641822599999995
TCGA-AA-3511-01,0.9251,0.9164,0.5314,0.6788,0.6468,COAD,6.963,2.8597170299999997
TCGA-AD-A5EK-01,0.931,0.9488,0.7018,0.855,0.8715,COAD,6.625,2.7836913699999997
TCGA-QG-A5YX-01,0.4257,0.9441,0.532,0.8217,0.8455,COAD,5.647,1.61897851
TCGA-CM-6168-01,0.9215,0.9476,0.4923,0.5923,0.7043,COAD,9.27,3.2451089400000006
TCGA-AM-5821-01,0.7503,0.6222,0.3081,0.6527,0.7014,COAD,12.17,2.19982146
TCGA-F4-6570-01,0.8818,0.9119,0.4983,0.6443,0.7087,COAD,9.61,3.5098511099999987
TCGA-D5-6924-01,0.9159,0.9322,0.5756,0.6588,0.8259,COAD,9.818,2.61723991
TCGA-G4-6588-01,0.9508,0.9277,0.3072,0.6042,0.754,COAD,8.482,2.7343439400000005
TCGA-AY-A54L-01,0.6042,0.9284,0.6342,0.7018,0.7932,COAD,4.836,2.40536006
TCGA-CK-6746-01,0.6335,0.9558,0.5655,0.8095,0.6696,COAD,10.47,2.740621159999999
TCGA-G4-6298-01,0.9141,0.9401,0.7496,0.6008,0.784,COAD,5.195,3.1620665100000003
TCGA-CK-5915-01,0.9298,0.9343,0.6136,0.8797,0.8315,COAD,4.391,3.61947726
TCGA-CA-6718-01,0.6561,0.6476,0.2551,0.5921,0.62,COAD,13.8,2.5450647299999996
TCGA-CM-6162-01,0.9035,0.9274,0.51,0.5916,0.6045,COAD,9.822,3.0191657099999993
TCGA-D5-5539-01,0.9489,0.9511,0.4589,0.6973,0.7546,COAD,7.39,3.2127569799999995
TCGA-QG-A5YV-01,0.9229,0.929,0.7227,0.8967,0.8737,COAD,7.533,2.0547709999999997
TCGA-G4-6314-01,0.9258,0.9528,0.6508,0.5645,0.7418,COAD,7.565,3.44236679
TCGA-AZ-4313-01,0.904,0.8724,0.2753,0.4126,0.6078,COAD,8.719,1.2839903899999996
TCGA-CM-6676-01,0.9285,0.9547,0.7289,0.7535,0.7736,COAD,6.847,3.17883072
TCGA-NH-A6GC-01,0.9027,0.9168,0.3515,0.8501,0.6648,COAD,3.675,3.99352258
TCGA-A6-6654-01,0.8411,0.9405,0.6346,0.4666,0.6082,COAD,10.54,3.2181847900000005
TCGA-A6-2675-01,0.8583,0.9493,0.6866,0.657,0.8204,COAD,9.045,2.91258547
TCGA-F4-6460-01,0.9197,0.9438,0.6054,0.6146,0.7227,COAD,7.303,3.0697793399999997
TCGA-CA-6715-01,0.9459,0.9504,0.6853,0.8282,0.7975,COAD,5.232,2.16811849
TCGA-F4-6703-01,0.8302,0.9126,0.3327,0.4157,0.5202,COAD,11.82,2.97925047
TCGA-WS-AB45-01,0.9001,0.927,0.5503,0.4456,0.599,COAD,7.682,4.1521487
TCGA-G4-6321-01,0.9114,0.9522,0.5435,0.6426,0.7687,COAD,5.219,1.83371727
TCGA-AZ-6608-01,0.7524,0.9504,0.641,0.8844,0.8448,COAD,5.386,2.39652004
TCGA-AA-3713-01,0.9223,0.9386,0.3289,0.5687,0.8078,COAD,9.399,2.00662979
TCGA-CM-5864-01,0.6321,0.9481,0.7209,0.807,0.8014,COAD,7.035,2.2935002300000003
TCGA-CK-5913-01,0.6569,0.9584,0.5544,0.6735,0.7562,COAD,8.734,2.36734037
TCGA-CM-5863-01,0.923,0.8845,0.5305,0.5018,0.6754,COAD,7.491,3.4550632200000004
TCGA-AA-3495-01,0.8764,0.934,0.7065,0.73,0.799,COAD,8.25,2.0552558399999996
TCGA-F4-6857-01,0.8534,0.9442,0.5915,0.4251,0.681,COAD,8.388,2.6643033499999995
TCGA-QG-A5YW-01,0.9084,0.9394,0.7111,0.7569,0.8209,COAD,8.218,2.29053295
TCGA-A6-5665-01,0.6924,0.9039,0.596,0.6778,0.849,COAD,8.696,1.5739538399999995
TCGA-CA-5255-01,0.925,0.9214,0.3682,0.5989,0.7108,COAD,6.988,2.3050329799999996
TCGA-CM-5349-01,0.9336,0.935,0.3149,0.5184,0.69,COAD,8.849,2.9486831999999996
TCGA-CK-4947-01,0.8873,0.884,0.3823,0.6667,0.719,COAD,8.725,2.389291089999999
TCGA-G4-6297-01,0.8761,0.9365,0.2768,0.4779,0.6912,COAD,9.57,2.8308314300000004
TCGA-AZ-6606-01,0.9319,0.944,0.7053,0.7925,0.8108,COAD,5.847,2.3558091799999996
TCGA-CM-6675-01,0.9048,0.9499,0.2181,0.918,0.9279,COAD,7.182,2.79100846
TCGA-NH-A50U-01,0.9144,0.9344,0.5055,0.8135,0.8814,COAD,5.409,3.5678085100000003
TCGA-AD-6899-01,0.9014,0.9342,0.5277,0.7483,0.8235,COAD,9.875,3.1599384699999997
TCGA-AY-A8YK-01,0.883,0.9217,0.7489,0.875,0.8314,COAD,4.358,2.3278600899999997
TCGA-AD-6895-01,0.8161,0.9488,0.6978,0.6751,0.7921,COAD,10.08,2.04027742
TCGA-F4-6805-01,0.9263,0.9302,0.6027,0.5595,0.6584,COAD,9.346,3.330284100000001
TCGA-AY-5543-01,0.9044,0.9076,0.2997,0.6097,0.5619,COAD,8.751,1.4185111099999996
TCGA-D5-6931-01,0.9072,0.9093,0.4394,0.6411,0.7218,COAD,8.345,2.8797692799999997
TCGA-G4-6627-01,0.8539,0.9258,0.5771,0.5317,0.6359,COAD,9.14,2.6595768899999994
TCGA-A6-5657-01,0.7904,0.851,0.3741,0.503,0.6004,COAD,9.466,2.263410310000001
TCGA-CM-6165-01,0.9078,0.9436,0.6955,0.7877,0.7818,COAD,9.033,2.6464698400000004
TCGA-CM-5861-01,0.6555,0.9009,0.3571,0.5239,0.6489,COAD,8.655,2.75641633
TCGA-A6-6649-01,0.9123,0.9324,0.5081,0.7012,0.7852,COAD,7.748,3.69199479
TCGA-CM-5348-01,0.8134,0.9407,0.4982,0.638,0.7393,COAD,7.304,4.46580427
TCGA-AY-A69D-01,0.9227,0.9238,0.6426,0.7546,0.8141,COAD,6.442,2.297720559999999
TCGA-A6-5662-01,0.8805,0.9094,0.6231,0.8877,0.8091,COAD,5.603,3.3832082399999996
TCGA-AA-3509-01,0.9027,0.9413,0.7039,0.8208,0.8599,COAD,8.819,2.164061859999999
TCGA-D5-6536-01,0.8623,0.8937,0.4608,0.4657,0.8296,COAD,4.848,4.21978781
TCGA-D5-6539-01,0.9054,0.9234,0.5297,0.5169,0.6181,COAD,6.973,2.82270195
TCGA-D5-6929-01,0.8196,0.9138,0.4803,0.5816,0.8171,COAD,7.927,2.8446643399999996
TCGA-CM-6679-01,0.9213,0.9545,0.6504,0.7374,0.7651,COAD,7.637,3.087887189999999
TCGA-A6-5666-01,0.7593,0.9472,0.7658,0.8335,0.7907,COAD,7.004,2.5119820099999997
TCGA-A6-6140-01,0.9516,0.9479,0.6656,0.7607,0.8247,COAD,6.461,1.8813134499999995
TCGA-CA-5796-01,0.9306,0.9555,0.2529,0.8005,0.8338,COAD,6.034,2.2832394299999996
TCGA-F4-6463-01,0.9359,0.9281,0.5234,0.5511,0.6645,COAD,8.25,3.09048531
TCGA-D5-6928-01,0.7715,0.797,0.302,0.2507,0.443,COAD,12.16,2.3716216500000007
TCGA-A6-6648-01,0.9311,0.9508,0.7353,0.7965,0.824,COAD,8.107,2.3214681399999995
TCGA-CA-6719-01,0.8387,0.9559,0.5878,0.7325,0.8181,COAD,8.474,3.419751840000001
TCGA-AZ-4323-01,0.8644,0.9054,0.4575,0.4263,0.5635,COAD,7.787,2.53070389
TCGA-CM-6161-01,0.8728,0.9456,0.6055,0.6193,0.7018,COAD,6.992,2.9568010899999995
TCGA-F4-6856-01,0.908,0.9295,0.3155,0.585,0.7982,COAD,8.447,2.1587783
TCGA-DM-A1D7-01,0.9188,0.9616,0.6239,0.6299,0.7743,COAD,6.94,2.1129402299999995
TCGA-A6-5661-01,0.8677,0.8994,0.5025,0.7041,0.7477,COAD,8.69,2.2923648600000006
TCGA-DM-A1D6-01,0.945,0.9457,0.7249,0.8245,0.8577,COAD,4.165,3.00967228
TCGA-A6-2685-01,0.9115,0.9433,0.5977,0.6467,0.7249,COAD,7.169,3.5766837799999993
TCGA-AZ-4315-01,0.9123,0.8963,0.2592,0.6223,0.6741,COAD,11.63,1.5529221599999994
TCGA-CM-6674-01,0.9232,0.9206,0.3263,0.6434,0.6909,COAD,10.32,2.389816510000001
TCGA-CM-4743-01,0.9155,0.9312,0.3608,0.3215,0.4724,COAD,12.42,1.1781966799999994
TCGA-D5-5537-01,0.9182,0.9359,0.674,0.861,0.8942,COAD,5.78,3.330920849999999
TCGA-CA-6717-01,0.9244,0.9238,0.54,0.594,0.6224,COAD,9.356,2.91290859
TCGA-F4-6569-01,0.9304,0.9362,0.415,0.5936,0.6927,COAD,7.724,3.815321
TCGA-D5-6930-01,0.9067,0.9306,0.2826,0.5657,0.747,COAD,10.25,1.9523752699999992
TCGA-F4-6807-01,0.8733,0.9444,0.5048,0.5779,0.6168,COAD,9.835,2.74946483
TCGA-4T-AA8H-01,0.7917,0.9065,0.5868,0.7231,0.8114,COAD,2.922,2.7854918
TCGA-CM-6164-01,0.8232,0.9134,0.7048,0.5887,0.6788,COAD,9.389,2.1025555799999993
TCGA-A6-6782-01,0.9147,0.9398,0.6997,0.8005,0.874,COAD,8.582,3.13939729
TCGA-A6-4105-01,0.9353,0.9415,0.5803,0.6742,0.739,COAD,10.55,2.2229634199999997
TCGA-D5-5541-01,0.8527,0.9331,0.65,0.7242,0.7756,COAD,9.676,2.4775976600000003
TCGA-AA-3506-01,0.8631,0.9351,0.6636,0.718,0.8134,COAD,8.519,2.738375469999999
TCGA-DM-A28E-01,0.9414,0.9409,0.625,0.9127,0.8226,COAD,6.949,1.7885269699999995
TCGA-A6-6138-01,0.9351,0.9281,0.286,0.5299,0.6724,COAD,11.44,1.9265912500000009
TCGA-AZ-4682-01,0.8735,0.949,0.7681,0.8048,0.8269,COAD,6.011,2.84747898
TCGA-D5-6932-01,0.9186,0.9476,0.5536,0.7642,0.8028,COAD,8.059,2.6206024099999996
TCGA-D5-6538-01,0.9071,0.9479,0.7996,0.619,0.7784,COAD,3.11,3.69584807
TCGA-AD-6888-01,0.913,0.9556,0.7352,0.7783,0.8316,COAD,5.738,1.7177031999999997
TCGA-CM-6678-01,0.9334,0.9419,0.5899,0.7429,0.7295,COAD,4.806,3.2222658899999996
TCGA-CM-5344-01,0.926,0.9488,0.6385,0.6344,0.7266,COAD,7.214,3.1425773799999996
TCGA-A6-5656-01,0.9169,0.9379,0.7048,0.782,0.8203,COAD,6.965,2.4239795500000003
TCGA-F4-6809-01,0.9229,0.9191,0.4233,0.6529,0.7246,COAD,8.545,2.8947506599999997
TCGA-F4-6806-01,0.8298,0.9311,0.3713,0.7174,0.7627,COAD,6.926,2.36782294
TCGA-AA-3502-01,0.8807,0.8726,0.3115,0.7306,0.8091,COAD,7.722,1.8799024
TCGA-NH-A8F8-01,0.885,0.931,0.5951,0.6472,0.7815,COAD,8.018,3.16831506
TCGA-AY-6196-01,0.9216,0.9428,0.5292,0.4303,0.6514,COAD,10.09,3.2240426600000003
TCGA-CM-5868-01,0.7981,0.9441,0.6551,0.7485,0.7921,COAD,7.985,2.808326950000001
TCGA-RU-A8FL-01,0.848,0.926,0.8628,0.8409,0.807,COAD,3.729,1.46969441
TCGA-CK-4951-01,0.8773,0.9329,0.4431,0.5696,0.6365,COAD,10.43,2.6819479499999983
TCGA-D5-6922-01,0.8991,0.9447,0.7316,0.7783,0.8272,COAD,9.88,3.1120947599999993
TCGA-AA-3697-01,0.9054,0.944,0.6318,0.7437,0.7799,COAD,7.858,1.8787966599999997
TCGA-A6-6142-01,0.889,0.9453,0.5691,0.4234,0.5847,COAD,8.322,3.11515258
TCGA-F4-6704-01,0.8723,0.9033,0.2537,0.7105,0.7538,COAD,7.978,3.4780265899999994
TCGA-AZ-6599-01,0.9365,0.8881,0.2831,0.7898,0.7676,COAD,4.754,1.77021467
TCGA-5M-AAT4-01,0.8295,0.9242,0.6044,0.8386,0.7579,COAD,4.96,3.12995597
TCGA-CK-5914-01,0.9378,0.9193,0.5679,0.7983,0.8254,COAD,10.24,1.9772516
TCGA-CM-5860-01,0.9279,0.9173,0.2046,0.7628,0.551,COAD,10.48,2.4358659799999995
TCGA-AD-6965-01,0.9238,0.9337,0.7811,0.8268,0.8641,COAD,5.489,3.02391084
TCGA-A6-6780-01,0.4478,0.9024,0.3133,0.4659,0.5697,COAD,11.91,1.5589372299999995
TCGA-A6-2686-01,0.8438,0.9305,0.287,0.5538,0.6957,COAD,10.11,2.53118747
TCGA-CM-6677-01,0.9046,0.933,0.5256,0.6588,0.7372,COAD,9.14,2.172978529999999
TCGA-A6-A567-01,0.8862,0.9335,0.7349,0.7237,0.7711,COAD,6.406,3.0037492699999997
TCGA-D5-5540-01,0.6412,0.8894,0.8535,0.8615,0.833,COAD,10.25,1.49811063
TCGA-DM-A1DB-01,0.9265,0.9591,0.6154,0.7041,0.8813,COAD,8.84,1.04619536
TCGA-QG-A5Z2-01,0.9059,0.9405,0.4748,0.6758,0.8395,COAD,9.269,1.4245962999999993
TCGA-D5-6898-01,0.9117,0.9533,0.7638,0.7377,0.8437,COAD,9.008,2.8973863299999993
TCGA-AZ-5407-01,0.8873,0.9138,0.5321,0.6983,0.8171,COAD,6.007,2.34053732
TCGA-A6-2684-01,0.8937,0.9302,0.5154,0.7026,0.8042,COAD,9.752,3.201240709999999
TCGA-CM-6167-01,0.8972,0.9387,0.5717,0.5794,0.6844,COAD,7.884,3.828590889999999
TCGA-DM-A28G-01,0.925,0.9444,0.5902,0.7543,0.7734,COAD,5.448,2.96225505
TCGA-AA-3492-01,0.9022,0.9416,0.3645,0.6926,0.6886,COAD,9.512,2.3497055199999997
TCGA-G4-6322-01,0.9017,0.9364,,0.8243,0.894,COAD,7.796,2.16252988
TCGA-AD-6889-01,0.9474,0.9526,0.7221,0.8339,0.8788,COAD,7.374,2.6269522399999996
TCGA-CM-6163-01,0.9198,0.9042,0.6211,0.6301,0.7336,COAD,7.51,2.77880463
TCGA-G4-6586-01,0.9327,0.9417,0.4883,0.6564,0.7469,COAD,8.463,1.5374904799999998
TCGA-G4-6323-01,0.8792,0.9372,0.3677,0.4964,0.6266,COAD,6.729,1.52578098
TCGA-CA-5797-01,0.8429,0.9259,0.4295,0.6034,0.6931,COAD,9.76,2.207344439999999
TCGA-CK-4950-01,0.7141,0.9128,0.363,0.6639,0.787,COAD,8.193,2.3469208299999993
TCGA-D5-6529-01,0.8641,0.9136,0.5405,0.5405,0.6286,COAD,8.672,2.94312309
TCGA-DM-A1D0-01,0.931,0.9631,0.8482,0.7548,0.8422,COAD,3.321,2.1264954100000004
TCGA-DM-A282-01,0.954,0.9438,0.5345,0.6981,0.677,COAD,6.704,2.658877079999999
TCGA-A6-5660-01,0.8113,0.9365,0.7525,0.7828,0.8142,COAD,6.124,3.103961799999999
TCGA-G4-6299-01,0.9255,0.9419,0.6113,0.5883,0.7307,COAD,8.713,3.2780584
TCGA-DM-A1DA-01,0.5839,0.4068,0.368,0.6265,0.7755,COAD,9.68,1.5905401099999996
TCGA-D5-6920-01,0.9085,0.9307,0.671,0.6616,0.8394,COAD,7.071,2.691435279999999
TCGA-DM-A1D8-01,0.7481,0.9007,0.5075,0.7914,0.8114,COAD,8.15,2.08815446
TCGA-DM-A1HA-01,0.9442,0.9545,0.8953,0.9336,0.9512,COAD,7.328,2.55383435
TCGA-DM-A285-01,0.753,0.9446,0.5741,0.7038,0.7571,COAD,5.79,3.70304467
TCGA-G4-6303-01,0.9345,0.9293,0.782,0.7226,0.8188,COAD,6.319,3.07850993
TCGA-G4-6294-01,0.9479,0.9544,0.734,0.8306,0.8663,COAD,4.981,2.72184751
TCGA-AZ-6601-01,0.9289,0.9445,0.4958,0.4983,0.6112,COAD,10.23,2.7316493799999995
TCGA-AZ-4684-01,0.7821,0.8909,0.5234,0.5244,0.667,COAD,7.385,2.3660139699999996
TCGA-D5-6532-01,0.6363,0.9407,0.5159,0.7566,0.7302,COAD,6.165,2.26005285
TCGA-A6-A565-01,0.8965,0.9393,0.4272,0.5738,0.7204,COAD,7.586,2.6948333799999995
TCGA-5M-AATA-01,0.8455,0.9249,0.4047,0.7081,0.6131,COAD,7.282,3.05173259
TCGA-D5-6531-01,0.9246,0.9499,0.4995,0.7821,0.8184,COAD,9.944,2.4961873999999993
TCGA-5M-AAT5-01,0.9072,0.9277,0.5365,0.7814,0.7817,COAD,5.818,2.5014431
TCGA-DM-A0XD-01,0.9344,0.9518,0.6207,0.6398,0.6982,COAD,6.716,2.8488954099999995
TCGA-CK-6751-01,0.9341,0.9396,0.4769,0.7792,0.6972,COAD,8.227,2.4157915500000007
TCGA-G4-6311-01,0.8167,0.9422,0.4879,0.5667,0.7526,COAD,8.114,2.77383757
TCGA-A6-6137-01,0.8822,0.9447,0.5077,0.6338,0.7171,COAD,7.243,2.79356426
TCGA-A6-A566-01,0.8523,0.9496,0.571,0.6009,0.7203,COAD,7.683,3.759162559999999
TCGA-G4-6625-01,0.8958,0.9102,0.4604,0.5477,0.7066,COAD,10.37,2.1153381599999994
TCGA-DM-A28F-01,0.9395,0.9478,0.575,0.7207,0.7325,COAD,7.858,1.49171208
TCGA-A6-6141-01,0.9167,0.9359,0.3798,0.6225,0.6901,COAD,9.099,1.8339174500000004
TCGA-A6-5659-01,0.8802,0.9341,0.723,0.8684,0.8533,COAD,8.251,2.45457768
TCGA-AZ-6603-01,0.9338,0.941,0.5045,0.7687,0.835,COAD,10.4,2.70008263
TCGA-D5-6927-01,0.9158,0.9542,0.3103,0.6268,0.727,COAD,9.993,2.4440605099999995
TCGA-AU-6004-01,0.7694,0.938,0.1611,0.2376,0.3793,COAD,10.66,2.5010100799999986
TCGA-F4-6854-01,0.9345,0.949,0.7297,0.6793,0.8818,COAD,8.627,2.496751179999999
TCGA-CK-4952-01,0.9029,0.9422,0.2701,0.6875,0.7057,COAD,6.674,2.72001406
TCGA-A6-5667-01,0.9168,0.9467,0.7907,0.742,0.7862,COAD,7.636,2.97988524
TCGA-G4-6315-01,0.7523,0.9214,0.6683,0.749,0.7979,COAD,4.653,1.96925307
TCGA-A6-6781-01,0.7287,0.9306,0.5505,0.5011,0.6815,COAD,8.777,3.3542535499999993
TCGA-D5-6541-01,0.8874,0.9136,0.6147,0.6533,0.7182,COAD,10.6,2.74987436
TCGA-DM-A1D9-01,0.9385,0.9445,0.7102,0.7514,0.8335,COAD,7.883,2.45576548
TCGA-AD-6901-01,0.9186,0.9345,0.564,0.6414,0.8337,COAD,10.03,3.150320629999998
TCGA-CK-6748-01,0.9428,0.9431,0.7041,0.8587,0.8169,COAD,7.474,3.52601543
TCGA-AA-3496-01,0.9174,0.9163,0.6319,0.7148,0.7282,COAD,9.139,2.68523144
TCGA-CM-4751-01,0.9182,0.847,0.3614,0.6834,0.7116,COAD,10.68,2.089463139999999
TCGA-A6-6652-01,0.9347,0.9386,0.6234,0.8148,0.8199,COAD,4.344,2.92505537
TCGA-F4-6459-01,0.9158,0.9447,0.7189,0.7344,0.7811,COAD,7.123,3.7544122399999993
TCGA-SS-A7HO-01,0.9289,0.9392,0.763,0.7711,0.806,COAD,4.64,3.19961994
TCGA-A6-6650-01,0.893,0.9294,0.4329,0.8312,0.8683,COAD,6.762,2.2985698599999997
TCGA-DM-A28A-01,0.9381,0.9515,0.764,0.8233,0.7702,COAD,8.921,2.57233902
TCGA-D5-6534-01,0.927,0.9556,0.5878,0.5707,0.7118,COAD,10.03,3.5285953799999996
TCGA-AZ-4616-01,0.7954,0.7774,0.2909,0.5373,0.6239,COAD,11.26,1.51116661
TCGA-D5-6533-01,0.8297,0.9363,0.584,0.6805,0.7884,COAD,8.825,1.8625436699999995
TCGA-QG-A5Z1-01,0.9262,0.9525,0.731,0.8488,0.8686,COAD,5.686,3.7326427399999993
TCGA-DM-A0XF-01,0.8333,0.9432,0.6128,0.6168,0.7354,COAD,8.376,2.8852725699999997
TCGA-G4-6295-01,0.9144,0.9086,0.7855,0.6887,0.7724,COAD,9.145,1.9303967
TCGA-CM-6680-01,0.9446,0.932,0.2955,0.7344,0.786,COAD,9.608,2.88541709
TCGA-CM-6171-01,0.8904,0.9392,0.6812,0.6956,0.7689,COAD,8.418,2.9366999899999997
