,cg24049621,cg26172016,cg17675150,cg21867891,cg05800761,cg23309969,cg25401010,cg06487082,cg12406559,cg12737497,cg17289202,cg04212150,cg03096126,cg14269096,cg24243629,cg21710408,cg05603258,ch.18.1114073F,cg14517073,cohort,ZNF532,ARGscore
TCGA-NH-A6GA-01,0.9151,0.5575,0.95,0.9299,0.9165,0.8924,0.9418,0.0738,0.1126,0.0762,0.012,0.108,0.0758,0.3779,0.5667,0.6987,0.9024,0.0485,0.6768,COAD,10.03,4.057253769999999
TCGA-NH-A50V-01,0.8299,0.4788,0.9252,0.8722,0.8546,0.882,0.9048,0.0979,0.1053,0.0493,0.0132,0.3708,0.5009,0.707,0.6154,0.6026,0.8788,0.1019,0.8854,COAD,9.198,2.60339309
TCGA-CK-5912-01,0.8842,0.4931,0.5458,0.5734,0.6974,0.5539,0.6298,0.0412,0.0492,0.0644,0.0176,0.0663,0.0308,0.1547,0.1409,0.7271,0.9209,0.06,0.8623,COAD,9.245,2.611547469999999
TCGA-DM-A288-01,0.8835,0.3974,0.8879,0.914,0.9066,0.9089,0.9116,0.5831,0.7748,0.6742,0.0159,0.6301,0.7435,0.7307,0.6447,0.7709,0.7053,0.0719,0.8974,COAD,7.093,3.4187874
TCGA-AD-6548-01,0.9166,0.6146,0.9513,0.9506,0.9421,0.9493,0.9515,0.245,0.2873,0.22,0.0099,0.4824,0.6124,0.7827,0.5656,0.7307,0.9037,0.0669,0.8302,COAD,9.344,2.304968089999999
TCGA-AD-6890-01,0.8409,0.6772,0.9456,0.9135,0.9265,0.9175,0.9338,0.1575,0.1228,0.148,0.0123,0.5027,0.6343,0.7672,0.4652,0.6497,0.8768,0.0577,0.8856,COAD,8.08,2.06722258
TCGA-G4-6293-01,0.9231,0.5927,0.9555,0.9382,0.9164,0.9222,0.9459,0.1617,0.1553,0.1098,0.0089,0.4437,0.4718,0.8016,0.7222,0.7464,0.8896,0.0602,0.885,COAD,8.757,2.0471774600000003
TCGA-CK-5916-01,0.9023,0.504,0.9423,0.9364,0.9194,0.9022,0.9532,0.0905,0.1907,0.0766,0.0166,0.4419,0.6329,0.7499,0.4887,0.7343,0.9043,0.0414,0.9262,COAD,9.691,2.6894541499999995
TCGA-CK-6747-01,0.9079,0.4605,0.9547,0.9447,0.9373,0.9305,0.9413,0.0911,0.1103,0.1207,0.0139,0.5395,0.6483,0.8583,0.6089,0.7545,0.9118,0.0564,0.9162,COAD,8.284,2.6282431299999995
TCGA-QL-A97D-01,0.8047,0.5534,0.9247,0.9075,0.8662,0.9045,0.8918,0.2083,0.2104,0.1272,0.0125,0.4156,0.6442,0.7485,0.642,0.7218,0.8854,0.0602,0.8675,COAD,7.302,1.39513995
TCGA-A6-A56B-01,0.8593,0.6007,0.9461,0.9349,0.9245,0.9196,0.9263,0.0731,0.086,0.0558,0.0111,0.5372,0.6839,0.7094,0.2878,0.7,0.9331,0.0908,0.9066,COAD,9.502,3.615672299999999
TCGA-G4-6307-01,0.8953,0.4768,0.9487,0.9328,0.9276,0.9292,0.9312,0.2846,0.1652,0.0901,0.0094,0.5807,0.6467,0.8026,0.7973,0.7985,0.9425,0.0535,0.9076,COAD,7.279,1.5227502899999998
TCGA-AZ-6600-01,0.9091,0.6616,0.9583,0.9405,0.9385,0.9387,0.9373,0.2921,0.4502,0.2747,0.0098,0.4941,0.6401,0.794,0.7132,0.7414,0.8567,0.0505,0.9124,COAD,9.166,3.08437363
TCGA-F4-6808-01,0.873,0.4325,0.6481,0.6166,0.7187,0.6783,0.7059,0.0798,0.0868,0.0829,0.0117,0.1414,0.1059,0.5336,0.367,0.6906,0.9614,0.0782,0.8724,COAD,8.11,2.3689558899999996
TCGA-G4-6309-01,0.9067,0.7964,0.9636,0.9594,0.9394,0.9489,0.9506,0.3536,0.176,0.1106,0.0077,0.4597,0.7622,0.5415,0.3172,0.7912,0.8946,0.0501,0.8486,COAD,7.674,1.80543712
TCGA-AA-3662-01,0.8574,0.4735,0.805,0.7527,0.8455,0.7884,0.8812,0.1329,0.1308,0.1722,0.0107,0.2185,0.153,0.4207,0.4137,0.6568,0.9222,0.0861,0.841,COAD,8.984,2.519271379999999
TCGA-AY-A71X-01,0.9138,0.7223,0.9522,0.93,0.9354,0.9237,0.9446,0.4096,0.3983,0.2292,0.0103,0.6129,0.8503,0.8288,0.5396,0.8044,0.903,0.0554,0.775,COAD,7.514,2.3520838299999993
TCGA-CM-6169-01,0.8568,0.4109,0.9273,0.8351,0.869,0.4959,0.4381,0.0987,0.1425,0.1622,0.0186,0.3141,0.3563,0.5928,0.4356,0.7071,0.891,0.0629,0.8689,COAD,9.544,2.7154476199999995
TCGA-DM-A28K-01,0.8913,0.7769,0.9463,0.9356,0.9401,0.9297,0.9471,0.0823,0.0639,0.0569,0.0133,0.066,0.0344,0.4901,0.7026,0.7647,0.9115,0.0521,0.8913,COAD,7.986,2.540932709999999
TCGA-D5-6540-01,0.9295,0.5853,0.9641,0.9373,0.9176,0.9356,0.9298,0.0599,0.0512,0.0625,0.0098,0.5654,0.6724,0.8923,0.7173,0.8113,0.9173,0.0446,0.9393,COAD,9.115,2.67676672
TCGA-CA-5254-01,0.8676,0.2362,0.5375,0.3893,0.5182,0.5044,0.4983,0.0554,0.0806,0.0696,0.0122,0.0918,0.0432,0.2711,0.2235,0.5463,0.9341,0.0725,0.8731,COAD,9.8,3.6725914399999993
TCGA-AY-6386-01,0.9033,0.5548,0.9547,0.9296,0.9274,0.9195,0.9488,0.2483,0.2745,0.1087,0.0119,0.4676,0.57,0.8356,0.6385,0.7113,0.8933,0.0416,0.9165,COAD,7.415,1.85058495
TCGA-AA-3655-01,0.85,0.8086,0.9455,0.9142,0.9016,0.8849,0.9158,0.0943,0.0863,0.0616,0.0114,0.4831,0.3315,0.6056,0.333,0.7731,0.945,0.0717,0.8605,COAD,8.383,2.52602704
TCGA-D5-6926-01,0.8231,0.5592,0.7785,0.7605,0.7536,0.7041,0.8268,0.0987,0.0692,0.0591,0.0134,0.1001,0.0456,0.6004,0.3433,0.6425,0.9243,0.0829,0.8539,COAD,10.24,3.0870406299999997
TCGA-AD-5900-01,0.8814,0.4706,0.9467,0.9329,0.9313,0.609,0.9343,0.1752,0.244,0.2428,0.0251,0.3401,0.6135,0.8547,0.5063,0.7156,0.9193,0.0385,0.9032,COAD,9.06,2.7567582899999987
TCGA-A6-A5ZU-01,0.866,0.7173,0.9394,0.9359,0.9306,0.9219,0.9292,0.0631,0.0514,0.029,0.0111,0.1092,0.0813,0.3986,0.3945,0.6939,0.9202,0.0837,0.8688,COAD,9.854,2.85304935
TCGA-DM-A28C-01,0.9061,0.6857,0.9608,0.925,0.9517,0.9464,0.9344,0.2045,0.2583,0.1759,0.0082,0.4205,0.8548,0.8884,0.8104,0.7927,0.9299,0.0404,0.8836,COAD,8.324,2.78744536
TCGA-G4-6302-01,0.8626,0.5222,0.8778,0.887,0.8924,0.8622,0.8992,0.1073,0.1048,0.1146,0.0112,0.2684,0.2983,0.5414,0.3992,0.4755,0.8793,0.0428,0.8972,COAD,10.66,4.059412050000001
TCGA-AZ-5403-01,0.8795,0.707,0.9189,0.9192,0.9019,0.8972,0.9196,0.1618,0.1801,0.1448,0.0117,0.3113,0.2309,0.553,0.4846,0.6054,0.8814,0.0527,0.898,COAD,8.437,2.7857657300000005
TCGA-D5-6923-01,0.7338,0.3936,0.6034,0.5441,0.714,0.6195,0.7422,0.0582,0.057,0.0641,0.0143,0.0783,0.0454,0.309,0.2299,0.5288,0.917,0.0811,0.8789,COAD,10.22,3.2098935999999996
TCGA-AA-3712-01,0.8945,0.7791,0.9525,0.9257,0.9368,0.93,0.9455,0.142,0.1455,0.1087,0.0102,0.2651,0.661,0.7586,0.4849,0.5204,0.9357,0.0481,0.9141,COAD,9.106,2.8699300699999997
TCGA-AU-3779-01,0.8951,0.4943,0.7551,0.7988,0.8751,0.7877,0.8935,0.0749,0.1061,0.0803,0.0094,0.2887,0.1719,0.734,0.3072,0.7249,0.8975,0.0495,0.8214,COAD,8.639,2.62165028
TCGA-CM-6172-01,0.8692,0.7392,0.9326,0.926,0.8032,0.9096,0.8375,0.3158,0.3287,0.2147,0.0168,0.4639,0.55,0.7104,0.4248,0.7392,0.9217,0.0561,0.776,COAD,8.564,3.61196783
TCGA-AZ-4614-01,0.6947,0.1772,0.3249,0.287,0.415,0.3309,0.4133,0.0547,0.0765,0.0725,0.011,0.114,0.0903,0.2195,0.1637,0.3335,0.9273,0.0909,0.8324,COAD,8.447,2.53307911
TCGA-5M-AATE-01,0.7581,0.3405,0.8967,0.9221,0.8706,0.8786,0.9193,0.0754,0.0652,0.0513,0.0126,0.3205,0.5262,0.7426,0.2851,0.7556,0.9004,0.0472,0.8094,COAD,8.554,2.83012404
TCGA-A6-5664-01,0.8694,0.7387,0.9366,0.9382,0.9125,0.8759,0.9195,0.1431,0.1738,0.1075,0.0095,0.3129,0.3971,0.6315,0.4756,0.5368,0.877,0.0713,0.8904,COAD,9.018,3.42965034
TCGA-CM-4744-01,0.8624,0.2458,0.4799,0.4324,0.5364,0.6084,0.622,0.0681,0.0744,0.0627,0.0104,0.0582,0.0281,0.3023,0.311,0.6957,0.9136,0.0515,0.8586,COAD,8.874,1.4380128299999997
TCGA-CM-6166-01,0.9083,0.7556,0.9341,0.9253,0.9191,0.8807,0.9223,0.1011,0.108,0.0611,0.0194,0.4051,0.4409,0.7088,0.268,0.7651,0.9138,0.0512,0.9055,COAD,8.688,2.7181881499999996
TCGA-DM-A280-01,0.922,0.6216,0.944,0.9433,0.931,0.9253,0.9428,0.367,0.5307,0.3659,0.009,0.4096,0.5112,0.7327,0.4935,0.6349,0.7414,0.0595,0.8834,COAD,6.874,2.96143059
TCGA-AZ-6607-01,0.8382,0.7566,0.9476,0.9433,0.8995,0.9281,0.933,0.1182,0.0832,0.1035,0.0106,0.4971,0.5655,0.6836,0.6102,0.649,0.8934,0.0519,0.9102,COAD,10.27,3.659378489999998
TCGA-CM-5862-01,0.8836,0.769,0.9581,0.9425,0.9202,0.9288,0.9211,0.4742,0.564,0.4441,0.0141,0.5841,0.7726,0.7142,0.7116,0.74,0.8727,0.0573,0.8828,COAD,7.785,2.8228412799999996
TCGA-NH-A5IV-01,0.8872,0.6178,0.9507,0.9363,0.9252,0.9233,0.9418,0.4437,0.5744,0.2461,0.0102,0.649,0.7419,0.6669,0.3025,0.2386,0.8946,0.0451,0.751,COAD,7.76,2.5641822599999995
TCGA-AA-3511-01,0.8743,0.8131,0.9501,0.9263,0.9269,0.9353,0.9488,0.3155,0.2883,0.2415,0.0149,0.5575,0.697,0.7687,0.3,0.7465,0.8614,0.059,0.8906,COAD,8.621,2.8597170299999997
TCGA-AD-A5EK-01,0.8089,0.8747,0.9337,0.9159,0.9056,0.9121,0.9232,0.4053,0.1673,0.067,0.0121,0.5807,0.7377,0.7332,0.7629,0.7226,0.9365,0.133,0.9105,COAD,7.97,2.7836913699999997
TCGA-QG-A5YX-01,0.8171,0.7131,0.9409,0.9214,0.9162,0.9205,0.9094,0.1598,0.1314,0.0886,0.0131,0.3831,0.4463,0.7396,0.2926,0.3724,0.8889,0.1045,0.9075,COAD,6.462,1.61897851
TCGA-CM-6168-01,0.9078,0.5159,0.9298,0.916,0.9301,0.8989,0.9364,0.1955,0.2243,0.1175,0.0094,0.4231,0.5097,0.5907,0.5636,0.6191,0.883,0.0404,0.8766,COAD,10.32,3.2451089400000006
TCGA-AM-5821-01,0.8543,0.3054,0.8909,0.8464,0.838,0.8895,0.9336,0.1351,0.1124,0.0871,0.0105,0.2859,0.2264,0.3845,0.3313,0.6484,0.8993,0.0778,0.8017,COAD,9.837,2.19982146
TCGA-F4-6570-01,0.9134,0.6011,0.9656,0.9517,0.9317,0.9334,0.938,0.4887,0.4473,0.3386,0.0089,0.5109,0.6005,0.899,0.5867,0.5828,0.9146,0.057,0.8895,COAD,9.839,3.5098511099999987
TCGA-D5-6924-01,0.8706,0.5276,0.9127,0.937,0.8828,0.8859,0.9218,0.0905,0.0831,0.0811,0.0128,0.1232,0.0717,0.517,0.375,0.6731,0.9286,0.0588,0.8372,COAD,9.792,2.61723991
TCGA-G4-6588-01,0.9064,0.445,0.9602,0.8455,0.9186,0.9498,0.9607,0.0849,0.4412,0.5851,0.2951,0.5719,0.7073,0.722,0.451,0.775,0.7471,0.0411,0.8988,COAD,7.737,2.7343439400000005
TCGA-AY-A54L-01,0.8544,0.5558,0.9473,0.93,0.9215,0.9099,0.9166,0.2999,0.2838,0.1669,0.0116,0.4394,0.5619,0.6079,0.5146,0.7669,0.9241,0.0759,0.8153,COAD,7.703,2.40536006
TCGA-CK-6746-01,0.9195,0.2103,0.9592,0.9552,0.9371,0.9475,0.9571,0.102,0.0928,0.0851,0.0087,0.4092,0.5253,0.6998,0.372,0.4802,0.9218,0.0556,0.9149,COAD,8.37,2.740621159999999
TCGA-G4-6298-01,0.8668,0.5134,0.584,0.5603,0.7733,0.6826,0.7009,0.2188,0.3098,0.1669,0.0105,0.2726,0.3539,0.5463,0.3726,0.4702,0.9012,0.0606,0.8902,COAD,9.997,3.1620665100000003
TCGA-CK-5915-01,0.9421,0.817,0.9671,0.9435,0.9504,0.9434,0.959,0.1914,0.1182,0.0588,0.0138,0.737,0.8857,0.8885,0.3527,0.8265,0.8883,0.0357,0.9273,COAD,7.403,3.61947726
TCGA-CA-6718-01,0.897,0.4883,0.6822,0.6331,0.7545,0.7053,0.7802,0.1038,0.1363,0.0974,0.0105,0.094,0.0662,0.596,0.4305,0.7316,0.9289,0.0693,0.92,COAD,10.55,2.5450647299999996
TCGA-CM-6162-01,0.9281,0.5989,0.9568,0.9089,0.9294,0.8932,0.9301,0.1861,0.1714,0.0917,0.0127,0.1609,0.1307,0.687,0.4406,0.6022,0.8616,0.0556,0.9158,COAD,9.904,3.0191657099999993
TCGA-D5-5539-01,0.8997,0.766,0.9628,0.9437,0.931,0.9096,0.9453,0.1768,0.2503,0.1112,0.0123,0.243,0.2526,0.5596,0.3959,0.7201,0.8499,0.071,0.878,COAD,9.176,3.2127569799999995
TCGA-QG-A5YV-01,0.8542,0.6491,0.9336,0.927,0.9142,0.9116,0.9206,0.1391,0.1066,0.0717,0.0143,0.3348,0.4314,0.4944,0.362,0.7503,0.9418,0.0774,0.8483,COAD,8.549,2.0547709999999997
TCGA-G4-6314-01,0.8795,0.6291,0.9011,0.8834,0.8756,0.8729,0.9154,0.1104,0.0778,0.0567,0.0125,0.1614,0.0914,0.4676,0.3515,0.6135,0.8429,0.0512,0.9057,COAD,9.968,3.44236679
TCGA-AZ-4313-01,0.879,0.3712,0.9504,0.9437,0.9142,0.9279,0.933,0.1761,0.1786,0.1076,0.0102,0.2885,0.3337,0.5429,0.4448,0.696,0.8526,0.064,0.9117,COAD,7.08,1.2839903899999996
TCGA-CM-6676-01,0.8966,0.7515,0.9558,0.9481,0.921,0.9166,0.9118,0.2968,0.3668,0.1586,0.0111,0.4706,0.6056,0.7119,0.5413,0.5683,0.8947,0.0828,0.864,COAD,8.669,3.17883072
TCGA-NH-A6GC-01,0.7189,0.6657,0.899,0.9004,0.8279,0.8676,0.8798,0.0821,0.0693,0.0475,0.013,0.1337,0.0323,0.6068,0.6446,0.6822,0.9342,0.103,0.7696,COAD,8.814,3.99352258
TCGA-A6-6654-01,0.8939,0.7125,0.9426,0.9422,0.9158,0.903,0.9368,0.2149,0.2684,0.1515,0.0115,0.3532,0.2962,0.7512,0.6492,0.6329,0.9099,0.0975,0.8668,COAD,10.22,3.2181847900000005
TCGA-A6-2675-01,0.8862,0.6294,0.943,0.9223,0.909,0.9117,0.925,0.2636,0.2822,0.2064,0.011,0.4119,0.5785,0.62,0.3829,0.6942,0.9202,0.0645,0.8717,COAD,9.654,2.91258547
TCGA-F4-6460-01,0.8937,0.8408,0.9514,0.9367,0.94,0.9396,0.9407,0.5254,0.509,0.1904,0.0136,0.5254,0.616,0.7178,0.6785,0.7219,0.9398,0.068,0.9372,COAD,9.271,3.0697793399999997
TCGA-CA-6715-01,0.8788,0.883,0.9478,0.9276,0.9231,0.9377,0.9519,0.2773,0.186,0.1094,0.0115,0.6553,0.7807,0.8157,0.2484,0.7608,0.9508,0.0925,0.9148,COAD,7.753,2.16811849
TCGA-F4-6703-01,0.9023,0.5844,0.8604,0.802,0.8613,0.8302,0.906,0.176,0.1839,0.1192,0.0125,0.1188,0.0618,0.6081,0.523,0.5185,0.7733,0.068,0.8871,COAD,10.5,2.97925047
TCGA-WS-AB45-01,0.837,0.4804,0.927,0.9132,0.8519,0.8675,0.881,0.1002,0.2514,0.2734,0.305,0.3181,0.4714,0.7749,0.4962,0.4605,0.7951,0.0615,0.8673,COAD,10.87,4.1521487
TCGA-G4-6321-01,0.9042,0.4414,0.9543,0.9237,0.9332,0.9385,0.931,0.3401,0.5972,0.4358,0.0618,0.4528,0.6125,0.8539,0.5744,0.6149,0.784,0.0514,0.9259,COAD,6.035,1.83371727
TCGA-AZ-6608-01,0.8818,0.1684,0.2573,0.4931,0.3786,0.3215,0.2909,0.0426,0.0495,0.0671,0.0155,0.0892,0.0277,0.2832,0.117,0.8883,0.9595,0.0663,0.925,COAD,8.604,2.39652004
TCGA-AA-3713-01,0.7061,0.3,0.848,0.9258,0.8703,0.8911,0.9181,0.2675,0.5826,0.5257,0.2315,0.5965,0.7238,0.4401,0.315,0.403,0.5054,0.0407,0.7378,COAD,7.612,2.00662979
TCGA-CM-5864-01,0.902,0.5434,0.9403,0.9439,0.9288,0.9203,0.9329,0.078,0.078,0.0616,0.0126,0.2263,0.1904,0.5596,0.4197,0.7301,0.9424,0.0519,0.9393,COAD,8.131,2.2935002300000003
TCGA-CK-5913-01,0.9197,0.4092,0.951,0.9336,0.9456,0.934,0.9444,0.1895,0.2837,0.1073,0.0126,0.4981,0.6249,0.6677,0.4539,0.6478,0.8777,0.0424,0.9322,COAD,8.66,2.36734037
TCGA-CM-5863-01,0.8761,0.7364,0.9517,0.9271,0.9122,0.9195,0.9229,0.1689,0.1423,0.0847,0.0108,0.3367,0.5158,0.7389,0.564,0.6057,0.8964,0.0796,0.8861,COAD,9.202,3.4550632200000004
TCGA-AA-3495-01,0.8314,0.6112,0.9389,0.9078,0.8764,0.9002,0.9061,0.2586,0.2586,0.1855,0.0115,0.4383,0.5,0.6559,0.502,0.6733,0.8901,0.0727,0.8472,COAD,7.641,2.0552558399999996
TCGA-F4-6857-01,0.8433,0.6765,0.9369,0.9122,0.9214,0.9078,0.9354,0.1718,0.2212,0.1249,0.0137,0.1714,0.0894,0.699,0.629,0.5858,0.8976,0.0695,0.8663,COAD,10.27,2.6643033499999995
TCGA-QG-A5YW-01,0.8745,0.4905,0.9434,0.9422,0.9327,0.9376,0.9331,0.1654,0.2177,0.1021,0.0111,0.3151,0.3367,0.7473,0.462,0.6504,0.8994,0.0622,0.8012,COAD,8.632,2.29053295
TCGA-A6-5665-01,0.9015,0.6502,0.9222,0.9118,0.9365,0.9045,0.9331,0.2193,0.2745,0.1863,0.01665,0.5563,0.7378,0.6057,0.4512,0.5365,0.9028,0.0459,0.8807,COAD,7.212,1.5739538399999995
TCGA-CA-5255-01,0.8633,0.5797,0.9401,0.9277,0.908,0.9316,0.9273,0.2142,0.206,0.135,0.01,0.4183,0.5872,0.7751,0.6992,0.612,0.9124,0.0719,0.8772,COAD,7.183,2.3050329799999996
TCGA-CM-5349-01,0.8973,0.6399,0.9526,0.919,0.9314,0.8833,0.9463,0.209,0.2238,0.0744,0.0113,0.4503,0.5554,0.8375,0.4308,0.6565,0.9098,0.0683,0.8902,COAD,9.222,2.9486831999999996
TCGA-CK-4947-01,0.9382,0.3239,0.9626,0.9437,0.9526,0.9363,0.9382,0.1194,0.1073,0.0943,0.0105,0.4423,0.5058,0.7735,0.4211,0.6912,0.738,0.0402,0.8912,COAD,8.413,2.389291089999999
TCGA-G4-6297-01,0.8218,0.5683,0.9584,0.8913,0.9184,0.8452,0.9215,0.232,0.1927,0.0938,0.0121,0.363,0.4296,0.7321,0.4082,0.7071,0.9212,0.0446,0.8973,COAD,9.98,2.8308314300000004
TCGA-AZ-6606-01,0.8704,0.7115,0.8503,0.8195,0.8434,0.7988,0.8801,0.1272,0.1623,0.1383,0.0159,0.4017,0.4906,0.4781,0.3308,0.7907,0.9327,0.0801,0.9048,COAD,8.335,2.3558091799999996
TCGA-CM-6675-01,0.8933,0.2194,0.9425,0.9332,0.8364,0.8486,0.9419,0.0762,0.0893,0.0854,0.0134,0.4073,0.5904,0.3096,0.4938,0.4328,0.9694,0.0869,0.8063,COAD,8.557,2.79100846
TCGA-NH-A50U-01,0.7851,0.3712,0.8887,0.888,0.8449,0.8587,0.888,0.0644,0.0757,0.0597,0.0138,0.0655,0.0333,0.143,0.1585,0.7397,0.925,0.126,0.7527,COAD,9.221,3.5678085100000003
