,cg17001652,cg12020230,cg01134794,cg06662476,cohort,CXCL13,ARGscore
TCGA-CK-5912-01,0.1621,0.9015,0.8956,0.9162,COAD,4.752,2.611547469999999
TCGA-DM-A288-01,0.4049,0.9443,0.8929,0.9378,COAD,0.0,3.4187874
TCGA-AD-6548-01,0.538,0.8778,0.836,0.6785,COAD,7.699,2.304968089999999
TCGA-AD-6890-01,0.6634,0.9166,0.8487,0.8128,COAD,6.388,2.06722258
TCGA-G4-6293-01,0.6964,0.7145,0.8389,0.9171,COAD,5.232,2.0471774600000003
TCGA-CK-5916-01,0.6857,0.9069,0.4897,0.9144,COAD,7.533,2.6894541499999995
TCGA-CK-6747-01,0.7082,0.9129,0.8926,0.9268,COAD,3.24,2.6282431299999995
TCGA-QL-A97D-01,0.42,0.7902,0.8114,0.8141,COAD,7.492,1.39513995
TCGA-A6-A56B-01,0.4817,0.9204,0.8624,0.9049,COAD,2.191,3.615672299999999
TCGA-G4-6307-01,0.2255,0.9252,0.9215,0.9341,COAD,5.866,1.5227502899999998
TCGA-AZ-6600-01,0.6664,0.9254,0.8636,0.9327,COAD,7.454,3.08437363
TCGA-F4-6808-01,0.4562,0.9366,0.8867,0.8391,COAD,2.909,2.3689558899999996
TCGA-G4-6309-01,0.5955,0.849,0.9155,0.8216,COAD,6.143,1.80543712
TCGA-AA-3662-01,0.4479,0.9346,0.7085,0.9107,COAD,7.44,2.519271379999999
TCGA-AY-A71X-01,0.6688,0.9205,0.8606,0.9184,COAD,0.0,2.3520838299999993
TCGA-CM-6169-01,0.4622,0.7244,0.8428,0.8761,COAD,7.767,2.7154476199999995
TCGA-DM-A28K-01,0.8732,0.8836,0.8973,0.8961,COAD,3.046,2.540932709999999
TCGA-D5-6540-01,0.3669,0.7206,0.7555,0.9263,COAD,6.425,2.67676672
TCGA-CA-5254-01,0.4071,0.7201,0.35,0.8899,COAD,3.755,3.6725914399999993
TCGA-AY-6386-01,0.3858,0.907,0.5906,0.9201,COAD,5.891,1.85058495
TCGA-AA-3655-01,0.7477,0.8839,0.8795,0.9126,COAD,5.7,2.52602704
TCGA-D5-6926-01,0.4814,0.9268,0.8539,0.8411,COAD,6.506,3.0870406299999997
TCGA-AD-5900-01,0.5071,0.9086,0.8129,0.8948,COAD,9.462,2.7567582899999987
TCGA-A6-A5ZU-01,0.827,0.9472,0.8623,0.8858,COAD,8.083,2.85304935
TCGA-DM-A28C-01,0.7439,0.9597,0.9031,0.9207,COAD,2.468,2.78744536
TCGA-G4-6302-01,0.8636,0.9242,0.8699,0.8451,COAD,7.065,4.059412050000001
TCGA-AZ-5403-01,0.6097,0.7961,0.8789,0.7529,COAD,3.983,2.7857657300000005
TCGA-D5-6923-01,0.8323,0.876,0.8146,0.8713,COAD,3.712,3.2098935999999996
TCGA-AA-3712-01,0.3023,0.5164,0.8097,0.9402,COAD,6.167,2.8699300699999997
TCGA-AU-3779-01,0.7757,0.9451,0.8391,0.909,COAD,4.941,2.62165028
TCGA-CM-6172-01,0.6662,0.9496,0.8597,0.8505,COAD,1.916,3.61196783
TCGA-AZ-4614-01,0.3207,0.8437,0.8072,0.8258,COAD,6.588,2.53307911
TCGA-5M-AATE-01,0.6866,0.9334,0.8493,0.8129,COAD,3.946,2.83012404
TCGA-A6-5664-01,0.7504,0.8742,0.894,0.9198,COAD,7.457,3.42965034
TCGA-CM-4744-01,0.3938,0.407,0.3592,0.6561,COAD,8.675,1.4380128299999997
TCGA-CM-6166-01,0.486,0.9189,0.8738,0.7418,COAD,3.033,2.7181881499999996
TCGA-DM-A280-01,0.6232,0.7343,0.8382,0.8763,COAD,2.61,2.96143059
TCGA-AZ-6607-01,0.8663,0.8145,0.8796,0.8915,COAD,5.927,3.659378489999998
TCGA-CM-5862-01,0.4582,0.9321,0.8855,0.9157,COAD,1.566,2.8228412799999996
TCGA-NH-A5IV-01,0.2853,0.3711,0.6813,0.6845,COAD,7.338,2.5641822599999995
TCGA-AA-3511-01,0.7067,0.9593,0.8202,0.8891,COAD,5.269,2.8597170299999997
TCGA-AD-A5EK-01,0.7719,0.9311,0.9073,0.9267,COAD,1.88,2.7836913699999997
TCGA-QG-A5YX-01,0.2896,0.8681,0.8695,0.7796,COAD,3.817,1.61897851
TCGA-CM-6168-01,0.6698,0.7721,0.8755,0.9028,COAD,7.506,3.2451089400000006
TCGA-AM-5821-01,0.5045,0.6659,0.8015,0.8628,COAD,9.332,2.19982146
TCGA-F4-6570-01,0.7154,0.9202,0.6909,0.9151,COAD,7.376,3.5098511099999987
TCGA-D5-6924-01,0.6352,0.8905,0.8565,0.8274,COAD,8.72,2.61723991
TCGA-G4-6588-01,0.4725,0.847,0.7287,0.9281,COAD,5.602,2.7343439400000005
TCGA-AY-A54L-01,0.3575,0.8491,0.8419,0.8874,COAD,2.135,2.40536006
TCGA-CK-6746-01,0.2568,0.8596,0.7072,0.927,COAD,6.617,2.740621159999999
TCGA-G4-6298-01,0.5391,0.9449,0.8779,0.8809,COAD,4.764,3.1620665100000003
TCGA-CK-5915-01,0.5259,0.9333,0.9282,0.9405,COAD,0.0,3.61947726
TCGA-CA-6718-01,0.8942,0.9369,0.8708,0.9049,COAD,8.618,2.5450647299999996
TCGA-CM-6162-01,0.6325,0.9028,0.8664,0.8997,COAD,8.471,3.0191657099999993
TCGA-D5-5539-01,0.5844,0.9301,0.9173,0.933,COAD,6.286,3.2127569799999995
TCGA-QG-A5YV-01,0.7604,0.941,0.8662,0.9024,COAD,5.004,2.0547709999999997
TCGA-G4-6314-01,0.5739,0.8821,0.8536,0.7167,COAD,5.831,3.44236679
TCGA-AZ-4313-01,0.5767,0.7497,0.8308,0.8852,COAD,5.261,1.2839903899999996
TCGA-CM-6676-01,0.6523,0.9166,0.8799,0.8616,COAD,1.838,3.17883072
TCGA-NH-A6GC-01,0.2717,0.8742,0.851,0.902,COAD,0.0,3.99352258
TCGA-A6-6654-01,0.7306,0.9334,0.8746,0.9042,COAD,8.467,3.2181847900000005
TCGA-A6-2675-01,0.7622,0.9374,0.885,0.8835,COAD,6.003,2.91258547
TCGA-F4-6460-01,0.8184,0.9563,0.8876,0.9301,COAD,7.482,3.0697793399999997
TCGA-CA-6715-01,0.7211,0.9567,0.9179,0.9449,COAD,4.58,2.16811849
TCGA-F4-6703-01,0.8482,0.9121,0.8563,0.8638,COAD,9.748,2.97925047
TCGA-WS-AB45-01,0.8419,0.8994,0.8129,0.8903,COAD,7.764,4.1521487
TCGA-G4-6321-01,0.6899,0.9111,0.8235,0.9149,COAD,8.362,1.83371727
TCGA-AZ-6608-01,0.5219,0.9333,0.9194,0.9275,COAD,2.913,2.39652004
TCGA-AA-3713-01,0.5753,0.568,0.5044,0.6397,COAD,7.251,2.00662979
TCGA-CM-5864-01,0.5368,0.9408,0.9143,0.9211,COAD,5.316,2.2935002300000003
TCGA-CK-5913-01,0.6322,0.8384,0.6136,0.899,COAD,6.819,2.36734037
TCGA-CM-5863-01,0.7589,0.9354,0.8208,0.9008,COAD,5.933,3.4550632200000004
TCGA-AA-3495-01,0.5472,0.8779,0.8365,0.8592,COAD,5.887,2.0552558399999996
TCGA-F4-6857-01,0.7662,0.9022,0.8762,0.8826,COAD,10.65,2.6643033499999995
TCGA-QG-A5YW-01,0.5134,0.4948,0.8488,0.884,COAD,6.02,2.29053295
TCGA-A6-5665-01,0.7369,0.8719,0.7461,0.8066,COAD,9.528,1.5739538399999995
TCGA-CA-5255-01,0.8947,0.924,0.8535,0.8926,COAD,4.536,2.3050329799999996
TCGA-CM-5349-01,0.8882,0.9443,0.8734,0.8981,COAD,7.692,2.9486831999999996
TCGA-CK-4947-01,0.4845,0.6735,0.9112,0.7591,COAD,7.147,2.389291089999999
TCGA-G4-6297-01,0.7428,0.927,0.7096,0.8794,COAD,7.439,2.8308314300000004
TCGA-AZ-6606-01,0.8528,0.9613,0.7825,0.9,COAD,5.454,2.3558091799999996
TCGA-CM-6675-01,0.3048,0.5733,0.9002,0.9406,COAD,4.677,2.79100846
TCGA-NH-A50U-01,0.1671,0.545,0.8446,0.8888,COAD,0.7166,3.5678085100000003
TCGA-AD-6899-01,0.3796,0.9322,0.8686,0.891,COAD,6.077,3.1599384699999997
TCGA-AY-A8YK-01,0.7956,0.813,0.7883,0.555,COAD,4.542,2.3278600899999997
TCGA-AD-6895-01,0.8088,0.9391,0.8434,0.8977,COAD,8.533,2.04027742
TCGA-F4-6805-01,0.9157,0.9326,0.9124,0.8867,COAD,6.705,3.330284100000001
TCGA-AY-5543-01,0.4116,0.8087,0.8482,0.9327,COAD,7.367,1.4185111099999996
TCGA-D5-6931-01,0.6209,0.5801,0.6076,0.7996,COAD,7.356,2.8797692799999997
TCGA-G4-6627-01,0.7459,0.9134,0.8758,0.9127,COAD,8.902,2.6595768899999994
TCGA-A6-5657-01,0.7048,0.8622,0.8974,0.9137,COAD,9.382,2.263410310000001
TCGA-CM-6165-01,0.7091,0.9418,0.8896,0.9229,COAD,6.3,2.6464698400000004
TCGA-CM-5861-01,0.9038,0.921,0.6611,0.8246,COAD,6.713,2.75641633
TCGA-A6-6649-01,0.8056,0.9315,0.8551,0.9493,COAD,6.3,3.69199479
TCGA-CM-5348-01,0.506,0.9174,0.8721,0.8535,COAD,2.867,4.46580427
TCGA-AY-A69D-01,0.8771,0.9422,0.9003,0.9319,COAD,5.799,2.297720559999999
TCGA-A6-5662-01,0.7324,0.9346,0.9337,0.9306,COAD,0.8998,3.3832082399999996
TCGA-AA-3509-01,0.715,0.917,0.8219,0.8555,COAD,5.895,2.164061859999999
TCGA-D5-6536-01,0.8328,0.9191,0.7374,0.8254,COAD,2.116,4.21978781
TCGA-D5-6539-01,0.6356,0.9187,0.89,0.8865,COAD,3.298,2.82270195
TCGA-D5-6929-01,0.2673,0.7324,0.8623,0.851,COAD,5.76,2.8446643399999996
TCGA-CM-6679-01,0.425,0.9205,0.9217,0.9269,COAD,6.836,3.087887189999999
TCGA-A6-5666-01,0.8022,0.9441,0.7517,0.9058,COAD,2.607,2.5119820099999997
TCGA-A6-6140-01,0.4899,0.9566,0.881,0.9264,COAD,3.9,1.8813134499999995
TCGA-CA-5796-01,0.6632,0.9121,0.8873,0.8989,COAD,2.273,2.2832394299999996
TCGA-F4-6463-01,0.6154,0.804,0.8742,0.8833,COAD,6.304,3.09048531
TCGA-D5-6928-01,0.7001,0.7961,0.7895,0.8277,COAD,10.96,2.3716216500000007
TCGA-A6-6648-01,0.7783,0.8979,0.8751,0.9257,COAD,2.411,2.3214681399999995
TCGA-CA-6719-01,0.4913,0.6228,0.796,0.8349,COAD,6.032,3.419751840000001
TCGA-AZ-4323-01,0.7933,0.8928,0.8822,0.9037,COAD,11.27,2.53070389
TCGA-CM-6161-01,0.3916,0.7469,0.8723,0.892,COAD,5.258,2.9568010899999995
TCGA-F4-6856-01,0.6029,0.9138,0.8448,0.8715,COAD,6.962,2.1587783
TCGA-DM-A1D7-01,0.5789,0.9366,0.9258,0.9184,COAD,3.936,2.1129402299999995
TCGA-A6-5661-01,0.8455,0.9279,0.9028,0.9339,COAD,7.284,2.2923648600000006
TCGA-DM-A1D6-01,0.628,0.9521,0.9148,0.9324,COAD,0.6459,3.00967228
TCGA-A6-2685-01,0.7446,0.7916,0.8344,0.8897,COAD,6.966,3.5766837799999993
TCGA-AZ-4315-01,0.3784,0.9359,0.705,0.8814,COAD,8.242,1.5529221599999994
TCGA-CM-6674-01,0.7724,0.9239,0.9102,0.9239,COAD,7.818,2.389816510000001
TCGA-CM-4743-01,0.794,0.9109,0.6476,0.9173,COAD,6.289,1.1781966799999994
TCGA-D5-5537-01,0.7908,0.9481,0.8167,0.8706,COAD,1.575,3.330920849999999
TCGA-CA-6717-01,0.659,0.8141,0.8582,0.9104,COAD,9.369,2.91290859
TCGA-F4-6569-01,0.7997,0.8895,0.8768,0.9138,COAD,6.244,3.815321
TCGA-D5-6930-01,0.5517,0.9353,0.8549,0.8886,COAD,9.972,1.9523752699999992
TCGA-F4-6807-01,0.7667,0.9495,0.8907,0.9157,COAD,8.434,2.74946483
TCGA-4T-AA8H-01,0.2273,0.7496,0.8372,0.8829,COAD,1.675,2.7854918
TCGA-CM-6164-01,0.5999,0.7393,0.9106,0.844,COAD,6.796,2.1025555799999993
TCGA-A6-6782-01,0.6928,0.95,0.8336,0.8878,COAD,6.328,3.13939729
TCGA-A6-4105-01,0.6322,0.8366,0.892,0.92,COAD,8.163,2.2229634199999997
TCGA-D5-5541-01,0.5221,0.9128,0.9246,0.9184,COAD,6.524,2.4775976600000003
TCGA-AA-3506-01,0.4083,0.6402,0.7716,0.715,COAD,6.134,2.738375469999999
TCGA-DM-A28E-01,0.6965,0.9604,0.8839,0.839,COAD,1.885,1.7885269699999995
TCGA-A6-6138-01,0.4477,0.9127,0.8617,0.9316,COAD,8.694,1.9265912500000009
TCGA-AZ-4682-01,0.7669,0.9367,0.8422,0.7835,COAD,2.661,2.84747898
TCGA-D5-6932-01,0.306,0.9427,0.8817,0.9085,COAD,4.665,2.6206024099999996
TCGA-D5-6538-01,0.187,0.93,0.8598,0.9046,COAD,0.9244,3.69584807
TCGA-AD-6888-01,0.4167,0.9346,0.8767,0.9094,COAD,2.87,1.7177031999999997
TCGA-CM-6678-01,0.8286,0.9615,0.8934,0.9086,COAD,2.164,3.2222658899999996
TCGA-CM-5344-01,0.6598,0.8835,0.8476,0.8661,COAD,3.936,3.1425773799999996
TCGA-A6-5656-01,0.3702,0.9152,0.8665,0.8651,COAD,3.217,2.4239795500000003
TCGA-F4-6809-01,0.6658,0.9344,0.9141,0.9386,COAD,8.026,2.8947506599999997
TCGA-F4-6806-01,0.5629,0.9239,0.893,0.9173,COAD,7.213,2.36782294
TCGA-AA-3502-01,0.1445,0.6499,0.616,0.8667,COAD,4.952,1.8799024
TCGA-NH-A8F8-01,0.7589,0.9176,0.8283,0.8683,COAD,5.116,3.16831506
TCGA-AY-6196-01,0.8887,0.9332,0.8114,0.856,COAD,10.57,3.2240426600000003
TCGA-CM-5868-01,0.4038,0.8256,0.8671,0.854,COAD,3.681,2.808326950000001
TCGA-RU-A8FL-01,0.7513,0.937,0.8653,0.8925,COAD,2.787,1.46969441
TCGA-CK-4951-01,0.4095,0.6395,0.7403,0.8916,COAD,7.703,2.6819479499999983
TCGA-D5-6922-01,0.3567,0.8758,0.8514,0.7937,COAD,4.498,3.1120947599999993
TCGA-AA-3697-01,0.3647,0.9172,0.8928,0.9082,COAD,6.149,1.8787966599999997
TCGA-A6-6142-01,0.6559,0.8572,0.8571,0.767,COAD,4.739,3.11515258
TCGA-F4-6704-01,0.4413,0.6505,0.6488,0.878,COAD,6.853,3.4780265899999994
TCGA-AZ-6599-01,0.3332,0.8539,0.9214,0.8866,COAD,4.807,1.77021467
TCGA-5M-AAT4-01,0.4681,0.7798,0.7892,0.8715,COAD,2.285,3.12995597
TCGA-CK-5914-01,0.5594,0.9481,0.8874,0.9433,COAD,6.135,1.9772516
TCGA-CM-5860-01,0.5347,0.7669,0.9041,0.7641,COAD,6.392,2.4358659799999995
TCGA-AD-6965-01,0.1815,0.6097,0.5926,0.275,COAD,5.675,3.02391084
TCGA-A6-6780-01,0.4945,0.9146,0.8575,0.7925,COAD,9.381,1.5589372299999995
TCGA-A6-2686-01,0.7773,0.8982,0.8509,0.8552,COAD,8.919,2.53118747
TCGA-CM-6677-01,0.4692,0.522,0.8201,0.8953,COAD,6.53,2.172978529999999
TCGA-A6-A567-01,0.4098,0.8936,0.8326,0.8658,COAD,4.133,3.0037492699999997
TCGA-D5-5540-01,0.2646,0.5741,0.8757,0.9111,COAD,8.434,1.49811063
TCGA-DM-A1DB-01,0.3423,0.9525,0.8535,0.9064,COAD,6.143,1.04619536
TCGA-QG-A5Z2-01,0.7786,0.9162,0.8715,0.8995,COAD,8.887,1.4245962999999993
TCGA-D5-6898-01,0.4628,0.9214,0.8806,0.8898,COAD,5.403,2.8973863299999993
TCGA-AZ-5407-01,0.6584,0.6997,0.8896,0.9095,COAD,3.785,2.34053732
TCGA-A6-2684-01,0.6162,0.8872,0.7164,0.6485,COAD,5.566,3.201240709999999
TCGA-CM-6167-01,0.6997,0.9015,0.8359,0.8881,COAD,6.884,3.828590889999999
TCGA-DM-A28G-01,0.5471,0.8485,0.897,0.9172,COAD,2.978,2.96225505
TCGA-AA-3492-01,0.5967,0.7051,0.8389,0.8573,COAD,6.618,2.3497055199999997
TCGA-G4-6322-01,0.1687,0.3938,0.868,0.9198,COAD,5.328,2.16252988
TCGA-AD-6889-01,0.8267,0.9516,0.9015,0.9314,COAD,5.056,2.6269522399999996
TCGA-CM-6163-01,0.491,0.8395,0.891,0.9042,COAD,7.673,2.77880463
TCGA-G4-6586-01,0.4053,0.897,0.7154,0.934,COAD,8.071,1.5374904799999998
TCGA-G4-6323-01,0.6969,0.914,0.9069,0.887,COAD,10.42,1.52578098
TCGA-CA-5797-01,0.2796,0.621,0.8418,0.6902,COAD,6.039,2.207344439999999
TCGA-CK-4950-01,0.5714,0.5876,0.7484,0.9058,COAD,7.323,2.3469208299999993
TCGA-D5-6529-01,0.8339,0.8959,0.8869,0.9102,COAD,8.138,2.94312309
TCGA-DM-A1D0-01,0.7279,0.9335,0.8953,0.9469,COAD,2.584,2.1264954100000004
TCGA-DM-A282-01,0.5736,0.9136,0.8695,0.9181,COAD,3.377,2.658877079999999
TCGA-A6-5660-01,0.4109,0.8714,0.9088,0.894,COAD,2.719,3.103961799999999
TCGA-G4-6299-01,0.5661,0.9218,0.8908,0.9287,COAD,8.748,3.2780584
TCGA-DM-A1DA-01,0.089,0.6831,0.7469,0.1214,COAD,3.812,1.5905401099999996
TCGA-D5-6920-01,0.8768,0.9276,0.8538,0.8917,COAD,4.066,2.691435279999999
TCGA-DM-A1D8-01,0.6923,0.9398,0.9116,0.902,COAD,2.726,2.08815446
TCGA-DM-A1HA-01,0.2274,0.9543,0.9161,0.9417,COAD,5.747,2.55383435
TCGA-DM-A285-01,0.4738,0.575,0.8647,0.89,COAD,1.673,3.70304467
TCGA-G4-6303-01,0.498,0.9242,0.8995,0.9202,COAD,4.869,3.07850993
TCGA-G4-6294-01,0.3224,0.9574,0.9175,0.8856,COAD,3.36,2.72184751
TCGA-AZ-6601-01,0.6049,0.8561,0.844,0.9293,COAD,8.614,2.7316493799999995
TCGA-AZ-4684-01,0.5922,0.6619,0.6152,0.7756,COAD,6.708,2.3660139699999996
TCGA-D5-6532-01,0.5116,0.7633,0.8905,0.9158,COAD,3.473,2.26005285
TCGA-A6-A565-01,0.7661,0.8836,0.8844,0.9167,COAD,9.141,2.6948333799999995
TCGA-5M-AATA-01,0.7399,0.9114,0.7264,0.7854,COAD,3.553,3.05173259
TCGA-D5-6531-01,0.6576,0.8826,0.7863,0.919,COAD,7.506,2.4961873999999993
TCGA-5M-AAT5-01,0.3273,0.8785,0.7283,0.7694,COAD,3.94,2.5014431
TCGA-DM-A0XD-01,0.4445,0.9007,0.7954,0.9354,COAD,4.332,2.8488954099999995
TCGA-CK-6751-01,0.4256,0.4671,0.7207,0.923,COAD,5.375,2.4157915500000007
TCGA-G4-6311-01,0.7587,0.955,0.897,0.8304,COAD,7.724,2.77383757
TCGA-A6-6137-01,0.5562,0.8716,0.8551,0.9086,COAD,3.068,2.79356426
TCGA-A6-A566-01,0.5199,0.6591,0.6144,0.7821,COAD,6.673,3.759162559999999
TCGA-G4-6625-01,0.8062,0.9162,0.8273,0.9252,COAD,9.127,2.1153381599999994
TCGA-DM-A28F-01,0.3565,0.4298,0.7153,0.9262,COAD,6.078,1.49171208
TCGA-A6-6141-01,0.6874,0.8955,0.8727,0.931,COAD,8.47,1.8339174500000004
TCGA-A6-5659-01,0.2627,0.7193,0.6947,0.8599,COAD,5.795,2.45457768
TCGA-AZ-6603-01,0.6087,0.7269,0.7893,0.666,COAD,5.231,2.70008263
TCGA-D5-6927-01,0.767,0.9373,0.8521,0.8596,COAD,8.028,2.4440605099999995
TCGA-AU-6004-01,0.88,0.9174,0.8712,0.9284,COAD,9.551,2.5010100799999986
TCGA-F4-6854-01,0.4248,0.9426,0.8813,0.8105,COAD,5.796,2.496751179999999
TCGA-CK-4952-01,0.2126,0.2267,0.6671,0.8936,COAD,3.591,2.72001406
TCGA-A6-5667-01,0.4862,0.9425,0.8804,0.8851,COAD,4.265,2.97988524
TCGA-G4-6315-01,0.7717,0.9562,0.8759,0.8923,COAD,5.982,1.96925307
TCGA-A6-6781-01,0.7966,0.9251,0.8233,0.8949,COAD,7.267,3.3542535499999993
TCGA-D5-6541-01,0.4098,0.916,0.8754,0.8828,COAD,7.0,2.74987436
TCGA-DM-A1D9-01,0.3743,0.8825,0.8973,0.903,COAD,3.214,2.45576548
TCGA-AD-6901-01,0.6622,0.9159,0.802,0.8127,COAD,5.629,3.150320629999998
TCGA-CK-6748-01,0.463,0.9725,0.9237,0.9219,COAD,3.48,3.52601543
TCGA-AA-3496-01,0.7776,0.9627,0.9253,0.9231,COAD,5.615,2.68523144
TCGA-CM-4751-01,0.5522,0.6053,0.7662,0.7668,COAD,8.443,2.089463139999999
TCGA-A6-6652-01,0.7642,0.945,0.8814,0.9428,COAD,1.212,2.92505537
TCGA-F4-6459-01,0.8702,0.952,0.8568,0.8837,COAD,4.21,3.7544122399999993
TCGA-SS-A7HO-01,0.4444,0.3536,0.8865,0.915,COAD,2.164,3.19961994
TCGA-A6-6650-01,0.2125,0.7772,0.8773,0.9113,COAD,3.569,2.2985698599999997
TCGA-DM-A28A-01,0.7831,0.9459,0.9217,0.9252,COAD,5.691,2.57233902
TCGA-D5-6534-01,0.5943,0.8379,0.8681,0.877,COAD,8.736,3.5285953799999996
TCGA-AZ-4616-01,0.7102,0.8422,0.8482,0.8943,COAD,9.104,1.51116661
TCGA-D5-6533-01,0.4936,0.9036,0.8934,0.9051,COAD,6.562,1.8625436699999995
TCGA-QG-A5Z1-01,0.3894,0.878,0.8942,0.9029,COAD,2.126,3.7326427399999993
TCGA-DM-A0XF-01,0.5028,0.9387,0.8929,0.9154,COAD,3.835,2.8852725699999997
TCGA-G4-6295-01,0.33,0.822,0.5225,0.9156,COAD,8.716,1.9303967
TCGA-CM-6680-01,0.5008,0.9428,0.8073,0.9278,COAD,5.607,2.88541709
TCGA-CM-6171-01,0.7571,0.9323,0.9001,0.9268,COAD,6.172,2.9366999899999997
TCGA-AA-3660-01,0.8799,0.9403,0.7961,0.9278,COAD,3.812,3.0561574499999997
TCGA-F4-6461-01,0.7264,0.9503,0.8884,0.9472,COAD,9.203,2.6996372200000005
TCGA-CM-4747-01,0.5139,0.9146,0.7324,0.846,COAD,4.304,2.8942269699999996
TCGA-AM-5820-01,0.665,0.9104,0.8295,0.9002,COAD,2.372,3.3004107799999995
TCGA-DM-A28H-01,0.2877,0.6069,0.9063,0.9404,COAD,4.919,2.21151856
TCGA-D5-7000-01,0.4446,0.7202,0.834,0.8982,COAD,5.598,2.7032302399999995
TCGA-G4-6320-01,0.4201,0.8968,0.8227,0.835,COAD,7.82,1.87232971
TCGA-5M-AAT6-01,0.6374,0.7066,0.7359,0.8983,COAD,9.352,2.64623645
TCGA-AZ-6605-01,0.7131,0.8503,0.8819,0.8279,COAD,8.313,2.8662182499999997
TCGA-G4-6310-01,0.7952,0.9536,0.8844,0.8253,COAD,2.457,3.744676179999999
TCGA-DM-A28M-01,0.6997,0.9343,0.9019,0.8799,COAD,1.67,1.92051885
TCGA-G4-6317-01,0.5121,0.9514,0.9081,0.9185,COAD,5.232,0.9405784699999996
TCGA-DM-A1D4-01,0.7597,0.9625,0.3824,0.9091,COAD,3.586,1.3618720499999997
TCGA-CM-6170-01,0.5149,0.9192,0.8895,0.9104,COAD,6.936,2.61132164
TCGA-NH-A50T-01,0.2129,0.7685,0.8678,0.9012,COAD,2.333,2.10070212
TCGA-NH-A6GB-01,0.5021,0.6174,0.8609,0.6985,COAD,4.613,2.56787156
TCGA-D5-6537-01,0.3559,0.8342,0.882,0.9077,COAD,4.398,1.5929408799999996
TCGA-4N-A93T-01,0.8309,0.9194,0.5187,0.885,COAD,6.113,1.32928211
TCGA-F5-6812-01,0.6078,0.9073,0.8532,0.8705,READ,8.662,2.8043319600000003
TCGA-BM-6198-01,0.8412,0.8926,0.8687,0.9005,READ,9.164,1.7352762100000003
TCGA-AH-6644-01,0.5108,0.9479,0.8726,0.8917,READ,7.318,2.9603465399999993
TCGA-AH-6903-01,0.7587,0.9446,0.9017,0.9206,READ,5.3,2.605686739999999
TCGA-DC-6157-01,0.684,0.9022,0.8833,0.9138,READ,6.044,1.95214935
TCGA-AG-3592-01,0.2394,0.9362,0.7363,0.7822,READ,4.883,2.530956700000001
TCGA-AG-3591-01,0.343,0.8832,0.8737,0.8838,READ,3.206,2.34543125
TCGA-DT-5265-01,0.6717,0.9257,0.8891,0.915,READ,2.331,4.30321471
