,cg04625493,cg26561773,cg12124912,cg02811156,cg16786117,cg15166523,cohort,VSIG4,ARGscore
TCGA-AD-5900-01,0.6776,0.742,0.9104,0.6805,0.923,0.8147,COAD,8.855,2.7567582899999987
TCGA-A6-A5ZU-01,0.9283,0.9011,0.912,0.8723,0.9359,0.9125,COAD,8.104,2.85304935
TCGA-DM-A28C-01,0.921,0.918,0.8859,0.9227,0.9398,0.9184,COAD,4.565,2.78744536
TCGA-G4-6302-01,0.8071,0.7954,0.7047,0.765,0.9143,0.8576,COAD,9.331,4.059412050000001
TCGA-AZ-5403-01,0.7443,0.9205,0.7897,0.8869,0.9451,0.9054,COAD,6.971,2.7857657300000005
TCGA-D5-6923-01,0.7625,0.854,0.8369,0.8895,0.9321,0.8578,COAD,5.88,3.2098935999999996
TCGA-AA-3712-01,0.8721,0.9281,0.8709,0.8835,0.957,0.9347,COAD,7.247,2.8699300699999997
TCGA-AU-3779-01,0.6779,0.7167,0.7744,0.6451,0.9222,0.6231,COAD,7.249,2.62165028
TCGA-CM-6172-01,0.8436,0.89,0.8606,0.9068,0.9464,0.7957,COAD,6.396,3.61196783
TCGA-AZ-4614-01,0.3366,0.5428,0.7508,0.3936,0.7629,0.6595,COAD,4.626,2.53307911
TCGA-5M-AATE-01,0.8202,0.8481,0.8763,0.8867,0.9187,0.7683,COAD,5.224,2.83012404
TCGA-A6-5664-01,0.8763,0.9079,0.7938,0.8699,0.9432,0.9058,COAD,9.598,3.42965034
TCGA-CM-4744-01,0.5042,0.3513,0.7545,0.8544,0.9379,0.7131,COAD,5.657,1.4380128299999997
TCGA-CM-6166-01,0.5986,0.5875,0.8393,0.8861,0.9445,0.6643,COAD,4.835,2.7181881499999996
TCGA-DM-A280-01,0.742,0.8403,0.5612,0.6439,0.9072,0.6553,COAD,6.086,2.96143059
TCGA-AZ-6607-01,0.7801,0.7719,0.8622,0.5617,0.9092,0.8094,COAD,9.082,3.659378489999998
TCGA-CM-5862-01,0.8925,0.9323,0.906,0.915,0.9607,0.945,COAD,5.663,2.8228412799999996
TCGA-NH-A5IV-01,0.765,0.2711,0.8421,0.914,0.696,0.2525,COAD,9.358,2.5641822599999995
TCGA-AA-3511-01,0.8885,0.7313,0.8581,0.9154,0.952,0.929,COAD,6.973,2.8597170299999997
TCGA-AD-A5EK-01,0.6107,0.9314,0.8717,0.9113,0.9422,0.9339,COAD,5.752,2.7836913699999997
TCGA-QG-A5YX-01,0.6174,0.8993,0.8597,0.8889,0.9263,0.8457,COAD,4.698,1.61897851
TCGA-CM-6168-01,0.5879,0.6695,0.7152,0.7551,0.9137,0.6682,COAD,8.742,3.2451089400000006
TCGA-AM-5821-01,0.4265,0.6012,0.6076,0.5783,0.6941,0.4723,COAD,8.696,2.19982146
TCGA-F4-6570-01,0.4345,0.4484,0.76,0.7182,0.8433,0.5263,COAD,10.39,3.5098511099999987
TCGA-D5-6924-01,0.5872,0.9009,0.8544,0.9106,0.9453,0.916,COAD,8.219,2.61723991
TCGA-G4-6588-01,0.7848,0.8066,0.6992,0.896,0.9369,0.9143,COAD,7.416,2.7343439400000005
TCGA-AY-A54L-01,0.3881,0.5056,0.8268,0.1807,0.7357,0.6017,COAD,2.606,2.40536006
TCGA-CK-6746-01,0.2548,0.2653,0.8376,0.2497,0.6022,0.235,COAD,9.167,2.740621159999999
TCGA-G4-6298-01,,0.876,0.8358,0.8699,0.9332,0.8683,COAD,5.544,3.1620665100000003
TCGA-CK-5915-01,0.9223,0.9392,0.9234,0.9325,0.9565,0.7421,COAD,5.93,3.61947726
TCGA-CA-6718-01,0.8862,0.7088,0.793,0.8851,0.9143,0.7085,COAD,8.746,2.5450647299999996
TCGA-CM-6162-01,0.7969,0.8952,0.6801,0.8834,0.9359,0.8481,COAD,9.557,3.0191657099999993
TCGA-D5-5539-01,0.8676,0.9389,0.8246,0.9202,0.953,0.5706,COAD,9.13,3.2127569799999995
TCGA-QG-A5YV-01,0.6154,0.4855,0.8246,0.8793,0.9232,0.7,COAD,5.482,2.0547709999999997
TCGA-G4-6314-01,0.8569,0.8798,0.8233,0.8558,0.9314,0.8701,COAD,7.61,3.44236679
TCGA-AZ-4313-01,0.4935,0.569,0.5918,0.7469,0.8875,0.5887,COAD,4.094,1.2839903899999996
TCGA-CM-6676-01,0.8465,0.9114,0.849,0.9075,0.9368,0.9208,COAD,6.049,3.17883072
TCGA-NH-A6GC-01,0.894,0.8816,0.8447,0.8752,0.9187,0.8531,COAD,6.608,3.99352258
TCGA-A6-6654-01,0.8862,0.7704,0.6727,0.8937,0.952,0.8678,COAD,9.892,3.2181847900000005
TCGA-A6-2675-01,0.6676,0.9061,0.8095,0.8045,0.9461,0.9229,COAD,7.774,2.91258547
TCGA-F4-6460-01,0.7459,0.9254,0.8953,0.8049,0.9548,0.911,COAD,7.313,3.0697793399999997
TCGA-CA-6715-01,0.5555,0.8104,0.897,0.9369,0.957,0.9331,COAD,4.199,2.16811849
TCGA-F4-6703-01,0.8754,0.7875,0.6323,0.8347,0.9324,0.8781,COAD,10.82,2.97925047
TCGA-WS-AB45-01,0.6978,0.8739,0.5709,0.8338,0.9144,0.8567,COAD,11.05,4.1521487
TCGA-G4-6321-01,0.7462,0.8065,0.8595,0.872,0.9231,0.7134,COAD,5.14,1.83371727
TCGA-AZ-6608-01,0.4996,0.4177,0.8942,0.7982,0.8333,0.7651,COAD,4.364,2.39652004
TCGA-AA-3713-01,0.5351,0.5604,0.8895,0.8694,0.9195,0.5662,COAD,8.806,2.00662979
TCGA-CM-5864-01,0.7133,0.9276,0.8505,0.9368,0.957,0.9359,COAD,6.347,2.2935002300000003
TCGA-CK-5913-01,0.4426,0.4471,0.7557,0.6443,0.7295,0.4463,COAD,6.636,2.36734037
TCGA-CM-5863-01,0.6044,0.745,0.702,0.8558,0.9183,0.7365,COAD,8.66,3.4550632200000004
TCGA-AA-3495-01,0.8769,0.8433,0.8289,0.8503,0.9365,0.8755,COAD,7.078,2.0552558399999996
TCGA-F4-6857-01,0.7189,0.8689,0.7419,0.8158,0.927,0.7821,COAD,8.343,2.6643033499999995
TCGA-QG-A5YW-01,0.5617,0.3263,0.8222,0.6418,0.7572,0.3543,COAD,7.154,2.29053295
TCGA-A6-5665-01,0.6411,0.7938,0.761,0.7934,0.9007,0.6268,COAD,6.258,1.5739538399999995
TCGA-CA-5255-01,0.791,0.9008,0.8203,0.8701,0.9409,0.892,COAD,4.636,2.3050329799999996
TCGA-CM-5349-01,0.6507,0.81,0.8134,0.713,0.9452,0.5954,COAD,9.171,2.9486831999999996
TCGA-CK-4947-01,0.4696,0.7423,0.7801,0.921,0.9272,0.7256,COAD,7.259,2.389291089999999
TCGA-G4-6297-01,0.6624,0.8565,0.7694,0.8848,0.9439,0.8544,COAD,7.451,2.8308314300000004
TCGA-AZ-6606-01,0.9329,0.933,0.8709,0.9328,0.9598,0.9316,COAD,3.839,2.3558091799999996
TCGA-CM-6675-01,0.664,0.8481,0.9231,0.4562,0.9493,0.2124,COAD,5.749,2.79100846
TCGA-NH-A50U-01,0.8159,0.8334,0.896,0.8698,0.9167,0.8917,COAD,6.519,3.5678085100000003
TCGA-AD-6899-01,0.796,0.9146,0.8542,0.9161,0.9304,0.8956,COAD,8.722,3.1599384699999997
TCGA-AY-A8YK-01,0.6813,0.8011,0.8132,0.6757,0.9348,0.8469,COAD,6.162,2.3278600899999997
TCGA-AD-6895-01,0.8791,0.7176,0.8836,0.8719,0.9202,0.8917,COAD,6.378,2.04027742
TCGA-F4-6805-01,0.8515,0.8639,0.7019,0.7505,0.9345,0.7264,COAD,9.014,3.330284100000001
TCGA-AY-5543-01,0.7009,0.7223,0.8376,0.9093,0.9581,0.5248,COAD,5.51,1.4185111099999996
TCGA-D5-6931-01,0.8904,0.9145,0.8748,0.8822,0.938,0.9137,COAD,7.544,2.8797692799999997
TCGA-G4-6627-01,0.8903,0.9304,0.7986,0.9231,0.9288,0.9222,COAD,7.378,2.6595768899999994
TCGA-A6-5657-01,0.8207,0.8772,0.8292,0.8575,0.941,0.9213,COAD,6.461,2.263410310000001
TCGA-CM-6165-01,0.9307,0.8983,0.9327,0.9242,0.9417,0.9105,COAD,7.559,2.6464698400000004
TCGA-CM-5861-01,0.859,0.3443,0.7498,0.8274,0.9128,0.9099,COAD,6.387,2.75641633
TCGA-A6-6649-01,0.8416,0.9295,0.8913,0.9089,0.9474,0.9168,COAD,8.273,3.69199479
TCGA-CM-5348-01,0.8776,0.8868,0.8586,0.8648,0.9294,0.8838,COAD,10.16,4.46580427
TCGA-AY-A69D-01,0.824,0.8535,0.8583,0.9056,0.9395,0.792,COAD,5.312,2.297720559999999
TCGA-A6-5662-01,0.9541,0.9331,0.9012,0.9068,0.9556,0.9265,COAD,6.326,3.3832082399999996
TCGA-AA-3509-01,0.6641,0.6791,0.7863,0.6614,0.908,0.7427,COAD,7.634,2.164061859999999
TCGA-D5-6536-01,0.9086,0.7161,0.7022,0.7722,0.5574,0.3463,COAD,8.83,4.21978781
TCGA-D5-6539-01,0.8187,0.8852,0.8774,0.8882,0.9391,0.7341,COAD,7.466,2.82270195
TCGA-D5-6929-01,0.7805,0.7444,0.7883,0.8312,0.9248,0.8802,COAD,8.32,2.8446643399999996
TCGA-CM-6679-01,0.8469,0.932,0.8253,0.893,0.9566,0.8784,COAD,6.987,3.087887189999999
TCGA-A6-5666-01,0.4873,0.9319,0.8788,0.9021,0.9248,0.7628,COAD,6.038,2.5119820099999997
TCGA-A6-6140-01,0.945,0.9368,0.8729,0.9205,0.9597,0.9491,COAD,4.714,1.8813134499999995
TCGA-CA-5796-01,0.5768,0.8885,0.8559,0.9318,0.9587,0.5172,COAD,3.218,2.2832394299999996
TCGA-F4-6463-01,0.927,0.8559,0.8687,0.8723,0.9374,0.8347,COAD,7.17,3.09048531
TCGA-D5-6928-01,0.6629,0.8164,0.7671,0.787,0.9206,0.7997,COAD,9.191,2.3716216500000007
TCGA-A6-6648-01,0.8931,0.939,0.9188,0.9229,0.9523,0.9007,COAD,5.805,2.3214681399999995
TCGA-CA-6719-01,0.6266,0.8123,0.8587,0.8532,0.9436,0.7826,COAD,8.587,3.419751840000001
TCGA-AZ-4323-01,0.8064,0.8741,0.7785,0.8961,0.9364,0.85,COAD,5.8,2.53070389
TCGA-CM-6161-01,0.6517,0.7453,0.837,0.6375,0.7869,0.6637,COAD,6.372,2.9568010899999995
TCGA-F4-6856-01,0.9113,0.8571,0.7583,0.8722,0.9006,0.8066,COAD,6.442,2.1587783
TCGA-DM-A1D7-01,0.9231,0.9331,0.8573,0.9274,0.9578,0.9055,COAD,5.502,2.1129402299999995
TCGA-A6-5661-01,0.8153,0.9028,0.7998,0.845,0.9384,0.7001,COAD,6.27,2.2923648600000006
TCGA-DM-A1D6-01,0.9326,0.9027,0.8851,0.9446,0.9632,0.9413,COAD,3.06,3.00967228
TCGA-A6-2685-01,0.8168,0.7695,0.7243,0.6191,0.771,0.7077,COAD,9.704,3.5766837799999993
TCGA-AZ-4315-01,0.8659,0.5325,0.7526,0.8865,0.9264,0.5973,COAD,8.075,1.5529221599999994
TCGA-CM-6674-01,0.9012,0.9218,0.7245,0.8943,0.9479,0.9135,COAD,8.007,2.389816510000001
TCGA-CM-4743-01,0.8378,0.8418,0.621,0.8557,0.9189,0.8488,COAD,4.828,1.1781966799999994
TCGA-D5-5537-01,0.9177,0.9219,0.8963,0.9072,0.9334,0.9008,COAD,5.939,3.330920849999999
TCGA-CA-6717-01,0.9063,0.8867,0.8473,0.9156,0.9367,0.9125,COAD,9.381,2.91290859
TCGA-F4-6569-01,0.6924,0.9132,0.7837,0.8654,0.9343,0.8897,COAD,9.723,3.815321
TCGA-D5-6930-01,0.9116,0.8987,0.8564,0.8852,0.9202,0.8977,COAD,6.913,1.9523752699999992
TCGA-F4-6807-01,0.5482,0.6474,0.5418,0.6028,0.9352,0.587,COAD,8.421,2.74946483
TCGA-4T-AA8H-01,0.5946,0.2206,0.8558,0.8093,0.9271,0.7296,COAD,4.323,2.7854918
TCGA-CM-6164-01,0.545,0.638,0.6746,0.5829,0.8837,0.5074,COAD,5.631,2.1025555799999993
TCGA-A6-6782-01,0.6099,0.8925,0.873,0.9262,0.9405,0.8134,COAD,9.156,3.13939729
TCGA-A6-4105-01,0.6087,0.9326,0.8493,0.902,0.9537,0.9057,COAD,9.062,2.2229634199999997
TCGA-D5-5541-01,0.5595,0.7418,0.879,0.9009,0.9577,0.7252,COAD,8.84,2.4775976600000003
TCGA-AA-3506-01,0.7478,0.8336,0.8175,0.9039,0.9289,0.8941,COAD,8.399,2.738375469999999
TCGA-DM-A28E-01,0.4293,0.462,0.872,0.9399,0.476,0.7226,COAD,4.406,1.7885269699999995
TCGA-A6-6138-01,0.9352,0.9247,0.8761,0.8694,0.9355,0.9173,COAD,8.899,1.9265912500000009
TCGA-AZ-4682-01,0.8711,0.9256,0.8287,0.9128,0.9323,0.9267,COAD,6.477,2.84747898
TCGA-D5-6932-01,0.9377,0.9005,0.8737,0.8876,0.9166,0.9116,COAD,6.858,2.6206024099999996
TCGA-D5-6538-01,0.879,0.8174,0.9083,0.7972,0.92,0.7686,COAD,5.039,3.69584807
TCGA-AD-6888-01,0.6311,0.8971,0.8854,0.9096,0.9376,0.9169,COAD,3.918,1.7177031999999997
TCGA-CM-6678-01,0.8006,0.748,0.7717,0.7923,0.9389,0.7668,COAD,5.145,3.2222658899999996
TCGA-CM-5344-01,0.8508,0.8877,0.8774,0.8888,0.9295,0.8172,COAD,6.11,3.1425773799999996
TCGA-A6-5656-01,0.5297,0.8973,0.8469,0.8381,0.9533,0.8183,COAD,5.5,2.4239795500000003
TCGA-F4-6809-01,0.8681,0.8229,0.8071,0.8375,0.9225,0.7739,COAD,8.335,2.8947506599999997
TCGA-F4-6806-01,0.6509,0.9314,0.8231,0.752,0.9596,0.7095,COAD,5.477,2.36782294
TCGA-AA-3502-01,0.9146,0.8201,0.8748,0.8893,0.918,0.8912,COAD,5.161,1.8799024
TCGA-NH-A8F8-01,0.9104,0.8528,0.8657,0.8512,0.9191,0.86,COAD,7.259,3.16831506
TCGA-AY-6196-01,0.5119,0.6209,0.9003,0.5658,0.7463,0.5378,COAD,10.85,3.2240426600000003
TCGA-CM-5868-01,0.3795,0.6196,0.7575,0.5579,0.7628,0.386,COAD,6.226,2.808326950000001
TCGA-RU-A8FL-01,0.9049,0.875,0.9189,0.8737,0.921,0.7685,COAD,1.71,1.46969441
TCGA-CK-4951-01,0.8404,0.7403,0.5394,0.676,0.9077,0.5754,COAD,8.227,2.6819479499999983
TCGA-D5-6922-01,0.9123,0.8589,0.9289,0.8854,0.9105,0.9149,COAD,7.922,3.1120947599999993
TCGA-AA-3697-01,0.6864,0.7107,0.8733,0.8201,0.9466,0.8452,COAD,6.413,1.8787966599999997
TCGA-A6-6142-01,0.6587,0.806,0.6285,0.8161,0.9348,0.7384,COAD,7.666,3.11515258
TCGA-F4-6704-01,0.7228,0.7126,0.8889,0.7357,0.9235,0.5559,COAD,8.484,3.4780265899999994
TCGA-AZ-6599-01,0.915,0.9375,0.9508,0.9231,0.9403,0.935,COAD,3.194,1.77021467
TCGA-5M-AAT4-01,0.6355,0.5299,0.8374,0.8616,0.9305,0.6276,COAD,6.631,3.12995597
TCGA-CK-5914-01,0.9381,0.9385,0.8733,0.9098,0.9511,0.7228,COAD,6.223,1.9772516
TCGA-CM-5860-01,0.5169,0.5963,0.8797,0.8719,0.9544,0.5595,COAD,7.626,2.4358659799999995
TCGA-AD-6965-01,0.8601,0.8897,0.9218,0.883,0.9212,0.9066,COAD,6.395,3.02391084
TCGA-A6-6780-01,0.8753,0.5991,0.768,0.8626,0.946,0.9191,COAD,10.37,1.5589372299999995
TCGA-A6-2686-01,0.8669,0.851,0.774,0.8851,0.927,0.9342,COAD,10.05,2.53118747
TCGA-CM-6677-01,0.5322,0.4543,0.813,0.5716,0.8243,0.4035,COAD,6.53,2.172978529999999
TCGA-A6-A567-01,0.7356,0.8582,0.8347,0.8899,0.9349,0.8986,COAD,6.37,3.0037492699999997
TCGA-D5-5540-01,0.7745,0.9295,0.8635,0.8844,0.9215,0.9084,COAD,7.079,1.49811063
TCGA-DM-A1DB-01,0.9427,0.9573,0.8706,0.9435,0.962,0.9711,COAD,4.436,1.04619536
TCGA-QG-A5Z2-01,0.8677,0.9029,0.8642,0.9291,0.9448,0.9194,COAD,4.311,1.4245962999999993
TCGA-D5-6898-01,0.837,0.8019,0.849,0.8576,0.9468,0.6961,COAD,8.717,2.8973863299999993
TCGA-AZ-5407-01,0.7012,0.8076,0.877,0.7199,0.9501,0.8022,COAD,4.909,2.34053732
TCGA-A6-2684-01,0.6731,0.7576,0.7497,0.6282,0.7548,0.5854,COAD,9.353,3.201240709999999
TCGA-CM-6167-01,0.7074,0.8424,0.7704,0.8845,0.9529,0.7879,COAD,8.005,3.828590889999999
TCGA-DM-A28G-01,0.9295,0.9364,0.8747,0.8994,0.9312,0.9296,COAD,5.354,2.96225505
TCGA-AA-3492-01,0.8538,0.2567,0.8142,0.5725,0.9248,0.7102,COAD,8.782,2.3497055199999997
TCGA-G4-6322-01,0.9263,0.8298,0.9334,0.879,0.9347,0.8928,COAD,4.61,2.16252988
TCGA-AD-6889-01,0.9475,0.923,0.9221,0.9036,0.9255,0.9068,COAD,6.214,2.6269522399999996
TCGA-CM-6163-01,0.8987,0.9313,0.8286,0.9128,0.9535,0.9078,COAD,8.702,2.77880463
TCGA-G4-6586-01,0.8879,0.7283,0.7365,0.8691,0.9529,0.7854,COAD,6.324,1.5374904799999998
TCGA-G4-6323-01,0.9276,0.878,0.9284,0.8815,0.9316,0.8969,COAD,4.939,1.52578098
TCGA-CA-5797-01,0.7732,0.4525,0.8604,0.9137,0.9549,0.7877,COAD,6.279,2.207344439999999
TCGA-CK-4950-01,0.5992,0.6588,0.7636,0.8563,0.8176,0.7384,COAD,7.624,2.3469208299999993
TCGA-D5-6529-01,0.837,0.8544,0.8233,0.8825,0.9503,0.8952,COAD,7.841,2.94312309
TCGA-DM-A1D0-01,0.591,0.6076,0.7869,0.6295,0.9306,0.867,COAD,4.437,2.1264954100000004
TCGA-DM-A282-01,0.6639,0.7486,0.8816,0.9024,0.96,0.7092,COAD,5.695,2.658877079999999
TCGA-A6-5660-01,0.8484,0.7237,0.8496,0.8704,0.9616,0.9089,COAD,7.166,3.103961799999999
TCGA-G4-6299-01,0.899,0.6996,0.8757,0.6952,0.9388,0.7606,COAD,9.086,3.2780584
TCGA-DM-A1DA-01,0.5011,0.1042,0.8258,0.4888,0.5743,0.1221,COAD,6.629,1.5905401099999996
TCGA-D5-6920-01,0.8155,0.782,0.7767,0.7818,0.8205,0.7672,COAD,6.91,2.691435279999999
TCGA-DM-A1D8-01,0.445,0.2461,0.8446,0.4257,0.5669,0.1984,COAD,4.552,2.08815446
TCGA-DM-A1HA-01,0.1121,0.1065,0.9115,0.9437,0.9506,0.8565,COAD,4.051,2.55383435
TCGA-DM-A285-01,0.672,0.6865,0.7842,0.7637,0.9306,0.5917,COAD,6.468,3.70304467
TCGA-G4-6303-01,0.7886,0.7944,0.828,0.7982,0.9406,0.7522,COAD,7.046,3.07850993
TCGA-G4-6294-01,0.919,0.9528,0.8946,0.9271,0.956,0.9344,COAD,6.092,2.72184751
TCGA-AZ-6601-01,0.9025,0.8921,0.7678,0.9261,0.9466,0.9166,COAD,10.18,2.7316493799999995
TCGA-AZ-4684-01,0.4254,0.5323,0.7761,0.8632,0.9374,0.7982,COAD,6.504,2.3660139699999996
TCGA-D5-6532-01,0.9035,0.9201,0.8896,0.9174,0.9451,0.937,COAD,5.357,2.26005285
TCGA-A6-A565-01,0.729,0.7948,0.759,0.8415,0.877,0.7918,COAD,8.278,2.6948333799999995
TCGA-5M-AATA-01,0.905,0.759,0.8871,0.8368,0.8904,0.8022,COAD,6.877,3.05173259
TCGA-D5-6531-01,0.866,0.8679,0.8969,0.8977,0.9533,0.9112,COAD,8.359,2.4961873999999993
TCGA-5M-AAT5-01,0.5192,0.7009,0.8313,0.6375,0.9386,0.5687,COAD,4.916,2.5014431
TCGA-DM-A0XD-01,0.2872,0.7903,0.8361,0.7916,0.9413,0.8474,COAD,5.561,2.8488954099999995
TCGA-CK-6751-01,0.4505,0.3663,0.8058,0.7934,0.9526,0.6205,COAD,5.888,2.4157915500000007
TCGA-G4-6311-01,0.8784,0.819,0.8979,0.9264,0.9485,0.9112,COAD,7.354,2.77383757
TCGA-A6-6137-01,0.8321,0.9136,0.8454,0.9325,0.929,0.8895,COAD,6.951,2.79356426
TCGA-A6-A566-01,0.6373,0.5616,0.6052,0.4764,0.7798,0.5192,COAD,9.702,3.759162559999999
TCGA-G4-6625-01,0.7213,0.699,0.7448,0.7087,0.9441,0.6086,COAD,8.673,2.1153381599999994
TCGA-DM-A28F-01,0.3804,0.6165,0.8633,0.9255,0.9563,0.9375,COAD,3.518,1.49171208
TCGA-A6-6141-01,0.9008,0.9345,0.8765,0.9026,0.9447,0.9273,COAD,6.866,1.8339174500000004
TCGA-A6-5659-01,0.6171,0.5874,0.8612,0.6825,0.9352,0.4834,COAD,6.318,2.45457768
TCGA-AZ-6603-01,0.4433,0.7189,0.7639,0.8857,0.8875,0.4124,COAD,8.479,2.70008263
TCGA-D5-6927-01,0.8872,0.8934,0.754,0.8279,0.9158,0.8414,COAD,8.893,2.4440605099999995
TCGA-AU-6004-01,0.8496,0.6747,0.732,0.9083,0.9491,0.7843,COAD,9.257,2.5010100799999986
TCGA-F4-6854-01,0.8774,0.9115,0.8207,0.9085,0.9478,0.9148,COAD,6.624,2.496751179999999
TCGA-CK-4952-01,0.455,0.1514,0.8029,0.5438,0.7023,0.4845,COAD,6.736,2.72001406
